Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Industry,Transport,Residential,Commercial and public services,Agriculture,Units
1990,18.808,10.214,14.105,28.343,12.614,4.827,4.588,Mt CO2
1991,20.884,11.507,14.693,29.965,13.156,3.966,5.075,Mt CO2
1992,19.597,11.618,15.709,32.001,12.973,3.511,5.667,Mt CO2
1993,20.142,10.335,15.014,34.276,14.997,3.351,6.208,Mt CO2
1994,20.61,9.64,17.507,33.787,15.052,2.953,7.319,Mt CO2
1995,21.16,8.061,17.219,35.21,15.103,2.832,7.775,Mt CO2
1996,24.485,8.703,17.741,40.999,15.022,2.774,8.233,Mt CO2
1997,22.743,10.25,20.807,40.967,15.033,2.859,8.069,Mt CO2
1998,25.376,12.578,20.247,43.593,15.262,2.932,7.692,Mt CO2
1999,30.068,12.714,18.288,40.966,16.44,3.039,7.8,Mt CO2
2000,28.956,13.231,17.869,39.837,17.426,3.142,7.556,Mt CO2
2001,26.299,13.802,17.636,36.625,16.758,3.011,7.126,Mt CO2
2002,23.764,13.514,17.082,33.838,15.623,3.224,7.167,Mt CO2
2003,27.646,14.18,19.004,34.557,16.849,3.426,8.404,Mt CO2
2004,34.365,14.305,20.014,37.167,17.943,3.765,10.016,Mt CO2
2005,36.712,13.796,20.427,37.714,18.708,3.93,10.547,Mt CO2
2006,39.653,14.173,22.122,40.547,18.739,3.91,11.202,Mt CO2
2007,39.048,15.311,21.084,43.882,22.092,4.41,12.294,Mt CO2
2008,43.033,16.012,20.67,45.847,20.981,4.168,11.924,Mt CO2
2009,40.2,16.967,17.548,42.021,20.587,4.131,10.603,Mt CO2
2010,42.841,16.542,19.042,44.199,23.82,4.397,11.59,Mt CO2
2011,48.208,16.274,20.703,45.67,23.916,4.39,12.017,Mt CO2
2012,50.689,16.83,19.185,44.821,25.138,4.635,11.332,Mt CO2
2013,48.325,16.62,21.12,47.735,26.25,4.674,12.648,Mt CO2
2014,50.031,16.919,21.513,44.06,25.304,4.564,11.475,Mt CO2
2015,52.209,17.511,21.709,46.278,25.593,4.58,11.871,Mt CO2
2016,53.517,17.601,19.48,45.249,26.901,3.708,11.61,Mt CO2
2017,50.771,17.41,18.995,46.431,24.247,4.269,11.816,Mt CO2
2018,47.073,17.022,20.716,47.787,23.91,4.186,10.506,Mt CO2
2019,39.989,16.699,20.51,47.469,23.079,3.847,10.647,Mt CO2
2020,39.008,15.148,20.766,37.766,23.28,3.227,9.825,Mt CO2
2021,47.044,15.062,21.397,46.949,24.117,3.679,12.002,Mt CO2
