Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,2.865,tCO2 / Capita
1991,2.998,tCO2 / Capita
1992,3.011,tCO2 / Capita
1993,3.066,tCO2 / Capita
1994,3.099,tCO2 / Capita
1995,3.072,tCO2 / Capita
1996,3.333,tCO2 / Capita
1997,3.371,tCO2 / Capita
1998,3.524,tCO2 / Capita
1999,3.528,tCO2 / Capita
2000,3.453,tCO2 / Capita
2001,3.235,tCO2 / Capita
2002,3.015,tCO2 / Capita
2003,3.241,tCO2 / Capita
2004,3.558,tCO2 / Capita
2005,3.63,tCO2 / Capita
2006,3.809,tCO2 / Capita
2007,3.965,tCO2 / Capita
2008,4.038,tCO2 / Capita
2009,3.738,tCO2 / Capita
2010,3.982,tCO2 / Capita
2011,4.149,tCO2 / Capita
2012,4.137,tCO2 / Capita
2013,4.203,tCO2 / Capita
2014,4.075,tCO2 / Capita
2015,4.168,tCO2 / Capita
2016,4.085,tCO2 / Capita
2017,3.949,tCO2 / Capita
2018,3.848,tCO2 / Capita
2019,3.61,tCO2 / Capita
2020,3.284,tCO2 / Capita
2021,3.717,tCO2 / Capita
