Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Agriculture / forestry,Units
1990,77205,1133,40042,25819,1468,TJ
1991,76777,889,43257,29674,1634,TJ
1992,79131,1000,48099,32961,1382,TJ
1993,84913,989,52865,34693,1382,TJ
1994,88178,1076,57308,40424,1566,TJ
1995,92833,1295,61527,44319,1645,TJ
1996,97243,1512,63424,48452,1681,TJ
1997,106736,1573,66661,51364,1925,TJ
1998,114278,1709,69058,59972,2109,TJ
1999,116074,1864,74977,61887,1922,TJ
2000,125431,2012,77385,63990,1731,TJ
2001,122562,1832,79570,68860,1706,TJ
2002,122630,1890,76485,66830,1763,TJ
2003,135399,1947,77677,70397,2120,TJ
2004,143996,2102,81036,74509,2707,TJ
2005,148132,2188,87796,81234,2455,TJ
2006,161175,2224,95471,82213,2674,TJ
2007,154814,2260,107251,92764,2707,TJ
2008,165330,2350,112921,95335,2631,TJ
2009,160192,2383,116384,97336,2959,TJ
2010,173901,2426,122986,95670,3153,TJ
2011,178970,2494,130111,102096,3625,TJ
2012,181940,2214,135255,102978,3758,TJ
2013,176140,2235,144345,108842,3833,TJ
2014,185029,2116,157982,105678,3751,TJ
2015,193561,2037,156099,120340,3484,TJ
2016,185227,1965,161233,123278,3319,TJ
2017,181372,2377,161200,116143,3386,TJ
2018,182753,1959,160103,115467,3297,TJ
2019,179613,1902,155460,112119,3201,TJ
2020,182335,1129,149427,113003,2382,TJ
2021,168728,1765,172658,119060,2522,TJ
2022,156837,926,171274,114456,4481,TJ
