Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,7.454,tCO2 / Capita
1991,7.16,tCO2 / Capita
1992,5.749,tCO2 / Capita
1993,4.985,tCO2 / Capita
1994,4.38,tCO2 / Capita
1995,4.212,tCO2 / Capita
1996,3.487,tCO2 / Capita
1997,3.352,tCO2 / Capita
1998,3.318,tCO2 / Capita
1999,3.227,tCO2 / Capita
2000,3.392,tCO2 / Capita
2001,3.185,tCO2 / Capita
2002,3.122,tCO2 / Capita
2003,3.38,tCO2 / Capita
2004,3.299,tCO2 / Capita
2005,3.458,tCO2 / Capita
2006,3.465,tCO2 / Capita
2007,3.105,tCO2 / Capita
2008,3.279,tCO2 / Capita
2009,2.729,tCO2 / Capita
2010,2.589,tCO2 / Capita
2011,2.874,tCO2 / Capita
2012,3.098,tCO2 / Capita
2013,3.118,tCO2 / Capita
2014,3.22,tCO2 / Capita
2015,3.165,tCO2 / Capita
2016,3.198,tCO2 / Capita
2017,3.131,tCO2 / Capita
2018,3.159,tCO2 / Capita
2019,3.311,tCO2 / Capita
2020,3.167,tCO2 / Capita
2021,3.351,tCO2 / Capita
