Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Agriculture / forestry,Units
1990,25729,2905,3833,16732,7711,TJ
1991,28717,4820,3960,13222,7574,TJ
1992,23947,3319,4085,10933,8852,TJ
1993,17211,3445,6660,14259,6663,TJ
1994,14454,2682,7207,12524,8046,TJ
1995,8841,2386,14669,10954,9370,TJ
1996,9255,2717,18953,5972,7318,TJ
1997,6566,2743,21250,5954,7383,TJ
1998,6703,2556,26535,6166,6051,TJ
1999,3412,2275,32929,9212,3250,TJ
2000,2624,1933,35647,8906,2890,TJ
2001,6984,1983,36619,5687,2977,TJ
2002,4561,1810,40100,3301,2383,TJ
2003,9028,2365,43484,1879,2505,TJ
2004,9248,1843,42854,5291,1753,TJ
2005,10422,2113,44110,6469,1796,TJ
2006,12844,2339,49662,4013,1836,TJ
2007,10781,2095,30002,11962,2196,TJ
2008,11682,2077,26798,13176,2304,TJ
2009,6854,1875,21049,12060,2293,TJ
2010,6328,1962,20717,12639,2397,TJ
2011,7667,1962,21301,14166,2663,TJ
2012,10897,1882,23403,16037,3196,TJ
2013,10785,1911,24177,17384,3275,TJ
2014,11379,1929,26251,17791,3513,TJ
2015,11386,1735,28576,18478,3250,TJ
2016,12661,1540,29059,16639,3524,TJ
2017,13000,1429,25684,17696,3694,TJ
2018,13405,1382,24117,21192,4022,TJ
2019,15832,1427,23104,22712,4121,TJ
2020,16052,1091,25624,20282,5417,TJ
2021,17565,1038,25057,23825,5903,TJ
