Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Industry,Transport,Residential,Commercial and public services,Agriculture,Final consumption not elsewhere specified,Units
1990,57.45,4.777,8.367,11.476,6.772,7.087,3.879,0.018,Mt CO2
1991,54.152,4.595,8.147,12.25,6.691,6.293,4.086,,Mt CO2
1992,51.356,3.328,5.47,11.316,5.976,5.73,3.66,,Mt CO2
1993,44.032,2.236,5.517,9.463,5.28,5.352,3.472,,Mt CO2
1994,40.252,2.04,4.171,6.727,5.264,3.291,2.267,,Mt CO2
1995,34.568,2.139,3.405,6.676,4.927,3.221,2.004,,Mt CO2
1996,34.62,1.759,3.849,7.247,4.755,3.671,1.912,,Mt CO2
1997,35.622,2.329,3.865,7.608,4.828,2.11,1.83,,Mt CO2
1998,33.883,2.1,4.439,8.043,4.526,1.465,1.83,,Mt CO2
1999,33.359,1.747,4.254,7.09,4.479,1.452,1.69,,Mt CO2
2000,31.983,2.334,3.206,6.453,4.753,1.244,2.128,,Mt CO2
2001,32.12,2.222,3.257,6.119,4.513,0.767,1.896,,Mt CO2
2002,31.694,2.253,3.23,6.606,4.387,0.738,1.859,,Mt CO2
2003,31.604,2.414,3.604,6.82,4.233,0.792,1.89,,Mt CO2
2004,33.703,3.01,3.908,6.984,4.095,0.75,1.999,,Mt CO2
2005,33.103,2.957,4.026,7.774,4.312,0.672,2.151,,Mt CO2
2006,33.587,3.161,3.99,9.133,4.387,0.64,2.321,,Mt CO2
2007,31.588,3.25,4.265,9.292,4.275,0.584,2.452,,Mt CO2
2008,32.694,3.114,4.535,10.549,4.129,0.632,2.761,0.006,Mt CO2
2009,31.311,3.187,4.243,9.648,4.227,0.534,2.15,,Mt CO2
2010,33.056,4.225,4.665,10.235,4.714,0.511,2.064,,Mt CO2
2011,30.267,3.153,4.758,10.872,4.594,0.47,2.243,,Mt CO2
2012,29.746,3.392,5.116,11.67,4.901,0.473,2.248,,Mt CO2
2013,29.235,3.52,5.208,12.181,4.765,0.466,2.141,,Mt CO2
2014,29.326,3.557,5.33,11.591,4.456,0.408,2.107,,Mt CO2
2015,27.588,3.61,4.456,10.384,4.213,0.351,1.995,,Mt CO2
2016,27.522,3.264,4.505,10.798,4.534,0.354,2.016,,Mt CO2
2017,27.99,2.931,4.645,11.257,4.536,0.384,2.274,,Mt CO2
2018,30.152,3.01,4.758,11.84,4.568,0.389,2.389,,Mt CO2
2019,28.948,3.004,4.828,11.801,4.153,0.371,2.295,,Mt CO2
2020,27.786,2.735,4.7,10.614,4.038,0.351,2.272,,Mt CO2
2021,27.957,2.737,4.59,10.389,4.671,0.384,2.416,,Mt CO2
