Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,9.798,tCO2 / Capita
1991,9.439,tCO2 / Capita
1992,8.5,tCO2 / Capita
1993,7.36,tCO2 / Capita
1994,6.259,tCO2 / Capita
1995,5.586,tCO2 / Capita
1996,5.691,tCO2 / Capita
1997,5.752,tCO2 / Capita
1998,5.589,tCO2 / Capita
1999,5.393,tCO2 / Capita
2000,5.221,tCO2 / Capita
2001,5.126,tCO2 / Capita
2002,5.146,tCO2 / Capita
2003,5.243,tCO2 / Capita
2004,5.596,tCO2 / Capita
2005,5.691,tCO2 / Capita
2006,5.958,tCO2 / Capita
2007,5.827,tCO2 / Capita
2008,6.132,tCO2 / Capita
2009,5.818,tCO2 / Capita
2010,6.271,tCO2 / Capita
2011,5.956,tCO2 / Capita
2012,6.092,tCO2 / Capita
2013,6.091,tCO2 / Capita
2014,6.009,tCO2 / Capita
2015,5.56,tCO2 / Capita
2016,5.597,tCO2 / Capita
2017,5.711,tCO2 / Capita
2018,6.05,tCO2 / Capita
2019,5.882,tCO2 / Capita
2020,5.597,tCO2 / Capita
2021,5.69,tCO2 / Capita
