Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Agriculture / forestry,Fishing,Units
1990,81234,10634,10538,22955,17528,,TJ
1991,78933,9896,12275,24793,17751,,TJ
1992,66830,8193,13293,22933,16660,,TJ
1993,53913,6998,13620,22783,15929,,TJ
1994,42929,7574,13883,22840,13186,,TJ
1995,38221,6267,14729,21572,10332,,TJ
1996,38826,6307,15352,22004,9306,,TJ
1997,45248,5875,16169,20161,8895,,TJ
1998,47257,5778,16870,20471,8308,,TJ
1999,46735,5929,16848,20772,7394,,TJ
2000,46465,6623,16828,19887,6660,,TJ
2001,46414,6750,16861,19940,6210,,TJ
2002,43768,7711,17472,20323,5677,,TJ
2003,44668,7632,18319,20373,5191,,TJ
2004,46872,7412,18301,20539,4957,,TJ
2005,47883,7221,18234,21228,5086,,TJ
2006,50101,6951,17764,22123,5551,,TJ
2007,50813,6274,18413,22715,5133,,TJ
2008,52264,6163,19494,22863,5158,,TJ
2009,44395,5504,20044,24458,5266,17,TJ
2010,47534,5806,21200,25567,5637,28,TJ
2011,48970,5284,21992,25725,5619,32,TJ
2012,48070,5047,22787,27774,5648,32,TJ
2013,45788,4694,22989,28461,5799,32,TJ
2014,46436,4608,23029,29095,5594,28,TJ
2015,43534,4417,23763,28205,5482,32,TJ
2016,43041,4251,24080,28796,5551,32,TJ
2017,45208,4402,23731,28789,5659,35,TJ
2018,46753,4719,23648,29699,5673,39,TJ
2019,47462,4420,23435,30384,5605,39,TJ
2020,46465,4194,24220,30466,5698,35,TJ
2021,49294,4942,25225,33141,6188,35,TJ
