Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Industry,Transport,Residential,Final consumption not elsewhere specified,Other energy industries,Commercial and public services,Agriculture,Units
1990,10.723,5.906,2.191,0.294,4.85,,,,Mt CO2
1991,8.699,5.769,1.861,0.279,4.83,,,,Mt CO2
1992,6.881,3.658,1.062,0.161,4.14,,,,Mt CO2
1993,5.975,2.724,0.848,0.055,3.739,,,,Mt CO2
1994,0.685,0.653,0.966,0.066,0.693,,,,Mt CO2
1995,0.79,0.667,0.994,0.057,0.769,,,,Mt CO2
1996,2.097,0.347,1.025,0.169,0.489,,,,Mt CO2
1997,5.834,0.554,1.056,0.101,0.867,,,,Mt CO2
1998,7.93,0.46,1.398,0.116,0.739,,,,Mt CO2
1999,7.81,0.432,1.341,0.118,0.698,,,,Mt CO2
2000,8.86,1.504,2.089,0.077,1.103,0.072,0.009,,Mt CO2
2001,8.705,1.333,2.128,0.075,1.173,0.072,0.01,,Mt CO2
2002,9.507,1.49,2.042,0.069,1.035,0.063,0.009,,Mt CO2
2003,10.277,0.388,2.055,0.085,1.633,0.091,0.014,,Mt CO2
2004,10.143,0.809,2.391,0.087,1.598,0.143,0.012,,Mt CO2
2005,10.369,1.067,2.304,0.105,1.782,0.21,0.017,,Mt CO2
2006,11.692,1.133,2.884,0.105,1.403,0.225,0.017,,Mt CO2
2007,12.241,1.211,3.048,0.105,1.555,0.235,0.017,,Mt CO2
2008,13.278,1.276,3.38,0.105,1.896,0.285,0.017,,Mt CO2
2009,13.621,1.368,3.491,0.422,0.857,0.444,,,Mt CO2
2010,13.393,1.608,3.403,0.573,1.01,0.493,,,Mt CO2
2011,15.976,1.788,3.406,0.566,1.06,0.598,,0.002,Mt CO2
2012,14.764,1.809,3.189,0.505,0.986,0.388,,0,Mt CO2
2013,14.547,2.228,2.817,0.562,0.618,0.706,,0.028,Mt CO2
2014,12.262,2.012,2.98,0.562,0.144,0.743,0.453,0.026,Mt CO2
2015,12.12,2.114,3.106,0.55,0.128,0.732,0.531,0.035,Mt CO2
2016,14.296,2.048,3.62,0.649,,0.704,0.677,0.037,Mt CO2
2017,14.652,2.184,3.776,0.664,,0.658,0.364,0.045,Mt CO2
2018,14.501,2.39,3.751,0.488,,0.661,0.328,0.112,Mt CO2
2019,13.251,2.294,4.014,0.374,,0.422,0.297,0.104,Mt CO2
2020,13.823,1.408,3.636,0.435,,0.836,0.247,0.128,Mt CO2
2021,13.114,1.649,4.18,0.448,,0.9,0.266,0.14,Mt CO2
