Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,5.333,tCO2 / Capita
1991,4.763,tCO2 / Capita
1992,3.72,tCO2 / Capita
1993,3.384,tCO2 / Capita
1994,0.815,tCO2 / Capita
1995,0.874,tCO2 / Capita
1996,1.057,tCO2 / Capita
1997,2.079,tCO2 / Capita
1998,2.587,tCO2 / Capita
1999,2.505,tCO2 / Capita
2000,3.283,tCO2 / Capita
2001,3.218,tCO2 / Capita
2002,3.387,tCO2 / Capita
2003,3.477,tCO2 / Capita
2004,3.666,tCO2 / Capita
2005,3.873,tCO2 / Capita
2006,4.303,tCO2 / Capita
2007,4.595,tCO2 / Capita
2008,5.133,tCO2 / Capita
2009,5.21,tCO2 / Capita
2010,5.375,tCO2 / Capita
2011,6.252,tCO2 / Capita
2012,5.891,tCO2 / Capita
2013,5.945,tCO2 / Capita
2014,5.373,tCO2 / Capita
2015,5.482,tCO2 / Capita
2016,6.33,tCO2 / Capita
2017,6.496,tCO2 / Capita
2018,6.54,tCO2 / Capita
2019,6.176,tCO2 / Capita
2020,6.183,tCO2 / Capita
2021,6.328,tCO2 / Capita
