Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Residential,Commercial and public services,Transport,Agriculture / forestry,Non-specified,Units
1990,21891,10850,3837,,,,TJ
1991,9251,9914,4352,,,,TJ
1992,2728,8855,2224,,,,TJ
1993,1674,7156,1364,,,,TJ
1994,2044,8686,1663,,,,TJ
1995,2134,9107,1735,,,,TJ
1996,3078,9565,2232,,,,TJ
1997,3351,11491,2682,,,,TJ
1998,4122,13428,3135,,,,TJ
1999,2394,13914,3250,,,,TJ
2000,4309,13183,3603,,,,TJ
2001,5706,13442,3675,,,,TJ
2002,7099,13615,3722,,,,TJ
2003,8063,13910,3978,,,,TJ
2004,8589,13877,4150,,,,TJ
2005,8679,14626,4536,,,,TJ
2006,8661,14774,4525,,,,TJ
2007,8647,14749,4518,,,,TJ
2008,14018,15606,,338,190,5788,TJ
2009,11275,16340,,352,241,5857,TJ
2010,13748,16362,,489,320,6328,TJ
2011,15174,16369,,500,338,6454,TJ
2012,15778,16556,,385,324,6904,TJ
2013,14936,16646,,302,176,7297,TJ
2014,14076,16577,6980,288,190,,TJ
2015,14396,17013,6487,327,205,,TJ
2016,14684,17038,7689,262,241,,TJ
2017,15638,17121,7826,273,172,,TJ
2018,15721,16866,8218,212,223,,TJ
2019,13284,17013,8852,212,212,,TJ
2020,9367,17262,8719,212,208,,TJ
2021,11329,17683,9558,197,219,,TJ
