Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Industry,Transport,Residential,Commercial and public services,Agriculture,Final consumption not elsewhere specified,Units
1990,12.766,15.363,46.912,82.175,13.894,2.576,10.158,0.909,Mt CO2
1991,14.039,14.081,50.365,85.971,14.266,2.442,10.547,,Mt CO2
1992,15.237,14.67,51.218,86.613,14.782,2.478,10.847,0.425,Mt CO2
1993,14.449,15.792,53.42,90.076,15.326,2.429,11.985,,Mt CO2
1994,13.707,16.291,55.303,94.209,15.331,3.49,12.659,,Mt CO2
1995,15.678,15.865,59.298,104.193,16.05,3.614,13.57,0.068,Mt CO2
1996,17.079,16.894,64.98,113.667,16.714,3.068,14.167,0.071,Mt CO2
1997,19.72,18.518,68.874,120.61,16.733,3.373,14.722,1.286,Mt CO2
1998,20.59,18.448,70.941,126.899,16.809,3.698,14.049,0.178,Mt CO2
1999,28.266,17.361,75.529,124.251,17.146,4.393,14.644,,Mt CO2
2000,31.495,18.925,83.085,125.484,17.181,4.252,14.198,,Mt CO2
2001,35.479,19.758,80.972,128.041,17.239,4.424,15.584,,Mt CO2
2002,30.462,20.14,83.774,130.012,16.66,4.819,15.216,,Mt CO2
2003,29.462,21.356,82.712,127.514,15.53,3.747,15.289,,Mt CO2
2004,33.973,22.534,85.259,136.45,15.864,3.931,15.247,,Mt CO2
2005,34.722,23.967,83.933,137.192,15.591,3.655,15.058,,Mt CO2
2006,34.77,24.142,84.161,140.259,15.615,3.635,15.162,,Mt CO2
2007,32.948,25.217,93.214,145.965,16.123,3.807,16.097,,Mt CO2
2008,42.648,27.009,93.329,151.34,16.53,3.458,17.923,,Mt CO2
2009,30.543,27.687,83.779,148.717,16.739,2.92,17.396,,Mt CO2
2010,45.837,24.48,98.063,167.991,17.235,2.643,18.188,,Mt CO2
2011,37.034,26.923,106.7,185.152,17.472,2.701,16.776,,Mt CO2
2012,55.788,27.288,102.856,202.541,17.582,2.53,17.455,,Mt CO2
2013,78.913,29.331,101.576,209.784,17.995,2.431,17.479,,Mt CO2
2014,99.989,27.159,98.627,214.78,18,2.495,18.179,,Mt CO2
2015,95.994,26.018,94.811,200.787,18.018,2.228,18.304,,Mt CO2
2016,73.988,23.545,85.256,199.046,18.209,2.236,17.919,,Mt CO2
2017,74.521,26.242,91.331,200.175,18.348,2.167,19.174,,Mt CO2
2018,65.919,25.29,88.358,191.865,18.211,2.209,18.781,,Mt CO2
2019,67.771,22.559,84.807,193.165,18.132,2.232,19.116,,Mt CO2
2020,62.457,22.119,78.542,182.607,18.854,2,19.423,,Mt CO2
2021,87.868,22.424,88.564,200.165,18.305,2.273,19.53,,Mt CO2
