Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,1.226,tCO2 / Capita
1991,1.25,tCO2 / Capita
1992,1.259,tCO2 / Capita
1993,1.284,tCO2 / Capita
1994,1.311,tCO2 / Capita
1995,1.396,tCO2 / Capita
1996,1.485,tCO2 / Capita
1997,1.565,tCO2 / Capita
1998,1.588,tCO2 / Capita
1999,1.623,tCO2 / Capita
2000,1.675,tCO2 / Capita
2001,1.692,tCO2 / Capita
2002,1.668,tCO2 / Capita
2003,1.619,tCO2 / Capita
2004,1.696,tCO2 / Capita
2005,1.682,tCO2 / Capita
2006,1.683,tCO2 / Capita
2007,1.747,tCO2 / Capita
2008,1.828,tCO2 / Capita
2009,1.685,tCO2 / Capita
2010,1.907,tCO2 / Capita
2011,1.982,tCO2 / Capita
2012,2.13,tCO2 / Capita
2013,2.268,tCO2 / Capita
2014,2.355,tCO2 / Capita
2015,2.223,tCO2 / Capita
2016,2.031,tCO2 / Capita
2017,2.072,tCO2 / Capita
2018,1.954,tCO2 / Capita
2019,1.925,tCO2 / Capita
2020,1.811,tCO2 / Capita
2021,2.049,tCO2 / Capita
