Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Agriculture / forestry,Units
1990,404420,4298,175197,151038,23997,TJ
1991,414147,3891,183733,155224,26348,TJ
1992,419709,4291,186714,163515,27136,TJ
1993,440863,4319,193064,172558,28818,TJ
1994,454237,4233,201427,181238,30203,TJ
1995,457815,4359,228891,199331,33022,TJ
1996,467118,4140,248601,211860,35467,TJ
1997,487875,4104,266655,230450,38876,TJ
1998,491137,4212,285760,247766,41770,TJ
1999,498772,4247,292647,257900,45615,TJ
2000,528227,4500,301006,276155,46281,TJ
2001,501861,4319,265571,258494,44622,TJ
2002,549543,3384,261907,264474,46519,TJ
2003,578577,3527,274114,281095,51418,TJ
2004,619419,3740,282877,288626,53622,TJ
2005,631335,4276,299494,310402,56465,TJ
2006,660308,5263,308916,317775,59101,TJ
2007,693417,5669,327171,332110,63129,TJ
2008,709988,5785,344106,349372,66229,TJ
2009,670604,5727,366404,363679,59760,TJ
2010,732060,5983,390445,384109,63705,TJ
2011,753803,9172,403095,404017,77256,TJ
2012,754635,10015,423525,430614,83764,TJ
2013,756576,9345,449625,452624,85629,TJ
2014,745369,10195,476287,480567,95691,TJ
2015,712904,9964,472312,485593,96444,TJ
2016,706366,9129,478422,476092,101671,TJ
2017,718862,9399,483982,480624,103449,TJ
2018,722736,10228,496116,489554,109490,TJ
2019,710221,8148,514991,507079,109563,TJ
2020,714158,9423,535840,459427,117088,TJ
2021,767982,9489,541703,476156,121973,TJ
2022,787475,9490,560155,510033,116235,TJ
