Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,14.781,tCO2 / Capita
1991,14.401,tCO2 / Capita
1992,14.686,tCO2 / Capita
1993,14.42,tCO2 / Capita
1994,14.789,tCO2 / Capita
1995,14.968,tCO2 / Capita
1996,15.293,tCO2 / Capita
1997,15.632,tCO2 / Capita
1998,15.731,tCO2 / Capita
1999,15.917,tCO2 / Capita
2000,16.413,tCO2 / Capita
2001,16,tCO2 / Capita
2002,16.411,tCO2 / Capita
2003,16.889,tCO2 / Capita
2004,16.269,tCO2 / Capita
2005,16.489,tCO2 / Capita
2006,16.04,tCO2 / Capita
2007,16.783,tCO2 / Capita
2008,16.048,tCO2 / Capita
2009,15.067,tCO2 / Capita
2010,15.317,tCO2 / Capita
2011,15.514,tCO2 / Capita
2012,15.268,tCO2 / Capita
2013,15.347,tCO2 / Capita
2014,15.339,tCO2 / Capita
2015,15.139,tCO2 / Capita
2016,14.912,tCO2 / Capita
2017,14.992,tCO2 / Capita
2018,15.076,tCO2 / Capita
2019,14.671,tCO2 / Capita
2020,13.09,tCO2 / Capita
2021,13.219,tCO2 / Capita
2022,13.141,tCO2 / Capita
