Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Agriculture / forestry,Units
1990,604598,11768,467391,390096,31093,TJ
1991,610196,11235,465789,397954,34009,TJ
1992,602852,12275,476042,397555,33667,TJ
1993,622584,13064,476672,408031,33915,TJ
1994,639122,13262,478375,409471,34473,TJ
1995,665218,13949,473795,421228,33804,TJ
1996,668080,13820,486892,426905,35359,TJ
1997,680194,15321,484160,436611,35665,TJ
1998,690825,18666,465559,431337,35132,TJ
1999,707421,18039,479825,436769,35186,TJ
2000,684781,16286,497573,318074,34567,TJ
2001,696934,15501,504784,313624,34866,TJ
2002,721558,14886,517428,340740,34739,TJ
2003,726101,15004,532641,352764,36043,TJ
2004,714916,15375,543528,349765,36579,TJ
2005,742708,15321,543279,420613,36892,TJ
2006,723124,16311,530549,415173,35452,TJ
2007,721785,15357,556876,433983,32583,TJ
2008,684518,15861,565048,448531,33994,TJ
2009,627962,14983,577522,448092,34624,TJ
2010,641811,14698,572691,457081,34261,TJ
2011,646225,15015,589136,468046,34430,TJ
2012,631717,15368,589309,462657,33717,TJ
2013,638474,19872,611276,473763,36323,TJ
2014,641732,21546,617234,491655,35078,TJ
2015,638848,23421,613400,491867,36453,TJ
2016,636181,26262,598168,491587,34477,TJ
2017,663001,28314,604310,525841,35226,TJ
2018,678034,28663,620989,536716,36982,TJ
2019,668142,27842,625060,544809,37972,TJ
2020,638233,27370,635652,526024,38005,TJ
2021,665697,28638,633344,522849,38145,TJ
