Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,1.361,tCO2 / Capita
1991,1.318,tCO2 / Capita
1992,1.335,tCO2 / Capita
1993,1.334,tCO2 / Capita
1994,1.221,tCO2 / Capita
1995,1.27,tCO2 / Capita
1996,1.311,tCO2 / Capita
1997,1.386,tCO2 / Capita
1998,1.429,tCO2 / Capita
1999,1.461,tCO2 / Capita
2000,1.403,tCO2 / Capita
2001,1.534,tCO2 / Capita
2002,1.526,tCO2 / Capita
2003,1.551,tCO2 / Capita
2004,1.658,tCO2 / Capita
2005,1.834,tCO2 / Capita
2006,1.887,tCO2 / Capita
2007,1.99,tCO2 / Capita
2008,2.038,tCO2 / Capita
2009,2.04,tCO2 / Capita
2010,2.028,tCO2 / Capita
2011,2.049,tCO2 / Capita
2012,2.074,tCO2 / Capita
2013,2.028,tCO2 / Capita
2014,2.023,tCO2 / Capita
2015,2.042,tCO2 / Capita
2016,2.08,tCO2 / Capita
2017,2.147,tCO2 / Capita
2018,2.055,tCO2 / Capita
2019,1.842,tCO2 / Capita
2020,1.722,tCO2 / Capita
2021,1.893,tCO2 / Capita
