Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Residential,Agriculture / forestry,Non-specified,Commercial and public services,Transport,Units
1990,60749,48038,4708,16829,,,TJ
1991,62964,50918,4989,17838,,,TJ
1992,65257,51904,5086,18183,,,TJ
1993,67633,54619,5353,19137,,,TJ
1994,70095,57394,5626,20109,,,TJ
1995,72648,60584,5940,21225,,,TJ
1996,75427,61588,6984,,32900,,TJ
1997,77385,64501,7588,,39992,,TJ
1998,80884,71636,8046,,42940,,TJ
1999,84373,78555,8531,,47440,,TJ
2000,88387,84765,9140,,50436,,TJ
2001,91447,92422,9838,,55288,,TJ
2002,95490,99781,10767,,60793,,TJ
2003,102189,107362,11807,,65350,,TJ
2004,109022,112719,12455,,72118,,TJ
2005,117723,122039,13388,,78353,,TJ
2006,124448,131745,13640,,84560,,TJ
2007,133361,144975,15152,,90252,,TJ
2008,134182,157719,16621,,93646,,TJ
2009,140097,170751,17402,,99799,,TJ
2010,146527,184931,17737,,101376,,TJ
2011,170589,203990,17233,,103464,,TJ
2012,143593,215125,22428,,121957,1821,TJ
2013,134352,223063,22067,,135835,1587,TJ
2014,137671,232365,23597,,132433,1853,TJ
2015,137916,264099,24318,,132811,1990,TJ
2016,149324,230849,24274,,141332,2041,TJ
2017,157042,240512,25405,,141847,1717,TJ
2018,159897,216414,25959,,141177,2516,TJ
2019,148129,221551,26542,,133804,2654,TJ
2020,151642,224614,28522,,143362,2747,TJ
2021,156618,231984,29458,,148066,2837,TJ
