Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,0.609,tCO2 / Capita
1991,0.643,tCO2 / Capita
1992,0.656,tCO2 / Capita
1993,0.67,tCO2 / Capita
1994,0.693,tCO2 / Capita
1995,0.73,tCO2 / Capita
1996,0.75,tCO2 / Capita
1997,0.777,tCO2 / Capita
1998,0.778,tCO2 / Capita
1999,0.821,tCO2 / Capita
2000,0.84,tCO2 / Capita
2001,0.839,tCO2 / Capita
2002,0.851,tCO2 / Capita
2003,0.858,tCO2 / Capita
2004,0.905,tCO2 / Capita
2005,0.931,tCO2 / Capita
2006,0.98,tCO2 / Capita
2007,1.065,tCO2 / Capita
2008,1.118,tCO2 / Capita
2009,1.21,tCO2 / Capita
2010,1.267,tCO2 / Capita
2011,1.321,tCO2 / Capita
2012,1.416,tCO2 / Capita
2013,1.441,tCO2 / Capita
2014,1.551,tCO2 / Capita
2015,1.539,tCO2 / Capita
2016,1.544,tCO2 / Capita
2017,1.613,tCO2 / Capita
2018,1.692,tCO2 / Capita
2019,1.647,tCO2 / Capita
2020,1.486,tCO2 / Capita
2021,1.619,tCO2 / Capita
