Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Agriculture / forestry,Non-specified,Units
1990,380107,14803,115173,40289,181155,30825,TJ
1991,401894,16271,129121,43362,210805,33865,TJ
1992,420694,18244,143084,45654,227980,35160,TJ
1993,439154,20231,156150,51030,254516,37043,TJ
1994,467558,21189,172718,57727,285483,37765,TJ
1995,492575,22402,186843,61789,308635,42551,TJ
1996,500155,23738,199048,63155,302468,45598,TJ
1997,512756,24998,217396,69872,328471,50277,TJ
1998,526555,26305,234058,71432,349902,55523,TJ
1999,551991,29116,254031,76339,327362,55635,TJ
2000,570225,29568,272524,81420,305025,64562,TJ
2001,567657,29180,287497,87501,294024,78179,TJ
2002,601218,31668,307552,99047,304149,88705,TJ
2003,646399,33156,331536,110010,313520,88147,TJ
2004,707355,34181,350769,119364,318797,90827,TJ
2005,759251,35798,373401,142549,325052,99618,TJ
2006,854871,38880,417332,162518,356483,102005,TJ
2007,957243,39990,439713,172473,375054,111184,TJ
2008,1003996,42510,472390,196941,387993,106620,TJ
2009,1067242,44603,513973,215629,430170,102122,TJ
2010,1151936,47964,566053,237052,454958,125900,TJ
2011,1222625,51140,617606,237007,507457,150141,TJ
2012,1295232,50760,667208,267943,530862,150809,TJ
2013,1315445,55944,727735,275593,549878,179007,TJ
2014,1490989,58236,806914,306463,608088,201697,TJ
2015,1511353,59738,884664,334443,623466,251424,TJ
2016,1574902,56458,950170,352567,688143,275769,TJ
2017,1670706,62758,1015586,368342,717289,285827,TJ
2018,1852361,67813,1066189,382135,768272,287923,TJ
2019,1901531,68932,1141347,411634,760661,281976,TJ
2020,1817521,52804,1116108,238216,796690,168919,TJ
2021,1904846,71280,1100035,284635,824399,158635,TJ
