Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Industry,Transport,Residential,Commercial and public services,Agriculture,Final consumption not elsewhere specified,Units
1990,22.492,25.258,27.812,32.197,18.507,1.009,3.091,0.74,Mt CO2
1991,25.018,29.068,27.664,35.85,19.005,1.237,3.006,0.812,Mt CO2
1992,25.405,30.767,29.146,37.913,19.861,1.549,3.819,0.812,Mt CO2
1993,31.777,30.918,32.19,40.488,19.668,1.937,4.422,0.878,Mt CO2
1994,31.861,32.038,37.838,45.353,20.151,2.121,4.626,0.935,Mt CO2
1995,35.491,38.781,46.741,49.256,21.339,2.637,4.825,0.985,Mt CO2
1996,41.738,35.785,46.88,54.597,22.604,2.843,5.184,1.105,Mt CO2
1997,50.497,38.272,50.9,60.65,22.938,2.934,5.053,1.111,Mt CO2
1998,50.344,48.245,47.631,59.199,23.779,2.851,5.53,1.014,Mt CO2
1999,56.922,38.671,61.239,58.783,28.113,3.197,7.812,1.032,Mt CO2
2000,61.948,27.412,57.943,62.686,29.423,4.261,8.355,2.983,Mt CO2
2001,70.133,29.872,62.206,66.753,29.117,4.34,8.82,3.039,Mt CO2
2002,74.503,34.74,58.984,67.99,27.854,4.277,8.663,2.904,Mt CO2
2003,83.263,38.208,74.671,69.274,28.246,4.082,8.3,2.587,Mt CO2
2004,86.351,33.305,80.259,70.828,28.374,4.544,9.452,2.671,Mt CO2
2005,92.94,31.166,81.3,69.838,27.053,4.316,8.743,2.197,Mt CO2
2006,99.494,30.679,104.64,66.294,24.37,3.822,7.572,2.099,Mt CO2
2007,110.92,27.742,111.197,67.814,24.65,3.544,6.378,2.908,Mt CO2
2008,124.739,27.766,91.569,72.07,22.105,3.24,6.42,2.657,Mt CO2
2009,124.182,29.066,100.247,81.681,18.485,3.114,6.863,2.168,Mt CO2
2010,119.662,29.334,126.173,89.113,17.006,2.697,5.964,1.699,Mt CO2
2011,147.008,29.018,136.208,108.496,16.754,3.261,7.848,1.679,Mt CO2
2012,143.998,24.788,119.421,129.624,17.47,4.066,10.504,1.51,Mt CO2
2013,149.184,24.428,79.352,136.118,18.888,3.869,9.933,0.916,Mt CO2
2014,168.891,24.872,89.465,136.586,19.604,3.608,8.977,0.85,Mt CO2
2015,171.42,24.089,101.293,132.024,19.973,2.843,6.288,0.735,Mt CO2
2016,181.063,25.385,85.951,128.099,20.369,2.67,5.865,0.862,Mt CO2
2017,195.098,22.747,91.614,135.043,21.983,2.53,5.302,0.894,Mt CO2
2018,216.998,22.875,112.073,150.989,23.024,2.176,3.941,0.954,Mt CO2
2019,224.802,21.322,147.011,149.478,23.541,1.792,2.517,0.727,Mt CO2
2020,224.939,21.164,131.122,126.816,24.193,1.589,2.314,0.573,Mt CO2
2021,240.256,18.95,130.759,135.667,25.729,1.768,2.837,0.603,Mt CO2
