Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,0.72,tCO2 / Capita
1991,0.764,tCO2 / Capita
1992,0.792,tCO2 / Capita
1993,0.846,tCO2 / Capita
1994,0.897,tCO2 / Capita
1995,1.01,tCO2 / Capita
1996,1.047,tCO2 / Capita
1997,1.136,tCO2 / Capita
1998,1.148,tCO2 / Capita
1999,1.212,tCO2 / Capita
2000,1.191,tCO2 / Capita
2001,1.263,tCO2 / Capita
2002,1.272,tCO2 / Capita
2003,1.384,tCO2 / Capita
2004,1.398,tCO2 / Capita
2005,1.388,tCO2 / Capita
2006,1.462,tCO2 / Capita
2007,1.512,tCO2 / Capita
2008,1.473,tCO2 / Capita
2009,1.518,tCO2 / Capita
2010,1.605,tCO2 / Capita
2011,1.822,tCO2 / Capita
2012,1.804,tCO2 / Capita
2013,1.669,tCO2 / Capita
2014,1.767,tCO2 / Capita
2015,1.77,tCO2 / Capita
2016,1.72,tCO2 / Capita
2017,1.797,tCO2 / Capita
2018,1.996,tCO2 / Capita
2019,2.119,tCO2 / Capita
2020,1.96,tCO2 / Capita
2021,2.033,tCO2 / Capita
