Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Residential,Commercial and public services,Agriculture / forestry,Transport,Units
1990,52354,32756,16725,,,TJ
1991,57693,37173,18468,,,TJ
1992,63918,42015,19936,,,TJ
1993,70383,47465,22410,,,TJ
1994,80874,54583,25351,,,TJ
1995,89002,65232,24861,,,TJ
1996,100616,70383,33955,,,TJ
1997,113187,81777,37105,,,TJ
1998,100746,89481,44712,,,TJ
1999,112816,96789,47199,,,TJ
2000,122446,102211,52516,7815,,TJ
2001,128134,112424,56113,7599,,TJ
2002,132580,114624,58550,7754,,TJ
2003,131389,120859,65487,7851,,TJ
2004,138916,137019,76265,8146,,TJ
2005,153774,141040,84769,8153,,TJ
2006,158137,150440,91515,8200,,TJ
2007,165387,162277,101538,8607,,TJ
2008,172407,171424,110937,8945,,TJ
2009,168152,191340,121672,8625,,TJ
2010,183546,206884,131353,8485,,TJ
2011,197013,225748,137358,8654,680,TJ
2012,216633,251010,150055,8668,463,TJ
2013,231771,269352,165416,8607,463,TJ
2014,237272,294274,174985,8434,557,TJ
2015,230684,310669,180302,8586,925,TJ
2016,245322,328276,195206,8809,727,TJ
2017,260058,331271,203176,8774,865,TJ
2018,350779,376353,223399,8845,1027,TJ
2019,350810,378178,235158,8158,1131,TJ
2020,331484,433219,218114,8165,1095,TJ
2021,373024,421887,225859,8130,1186,TJ
