Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,3.069,tCO2 / Capita
1991,3.298,tCO2 / Capita
1992,3.477,tCO2 / Capita
1993,3.496,tCO2 / Capita
1994,3.973,tCO2 / Capita
1995,4.023,tCO2 / Capita
1996,4.079,tCO2 / Capita
1997,4.219,tCO2 / Capita
1998,4.193,tCO2 / Capita
1999,4.631,tCO2 / Capita
2000,4.764,tCO2 / Capita
2001,4.91,tCO2 / Capita
2002,5.095,tCO2 / Capita
2003,5.259,tCO2 / Capita
2004,5.587,tCO2 / Capita
2005,5.953,tCO2 / Capita
2006,6.303,tCO2 / Capita
2007,6.638,tCO2 / Capita
2008,6.647,tCO2 / Capita
2009,6.785,tCO2 / Capita
2010,6.615,tCO2 / Capita
2011,6.652,tCO2 / Capita
2012,6.653,tCO2 / Capita
2013,6.86,tCO2 / Capita
2014,6.993,tCO2 / Capita
2015,6.795,tCO2 / Capita
2016,6.686,tCO2 / Capita
2017,6.801,tCO2 / Capita
2018,6.649,tCO2 / Capita
2019,7.05,tCO2 / Capita
2020,7.13,tCO2 / Capita
2021,7.309,tCO2 / Capita
