Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Residential,Commercial and public services,Agriculture / forestry,Non-specified,Transport,Units
1990,51933,62438,42948,13377,6829,,TJ
1991,54190,68860,48992,13651,7232,,TJ
1992,64436,70232,50414,12873,7037,,TJ
1993,69228,79714,53942,14482,5011,,TJ
1994,79344,80902,49489,18608,6354,,TJ
1995,83131,84146,49888,19447,6588,,TJ
1996,96083,86374,51181,20631,10098,,TJ
1997,99392,95482,53593,21632,8200,,TJ
1998,99576,103269,56019,24415,8917,,TJ
1999,108039,107330,58283,28868,15084,39,TJ
2000,118634,112741,62143,32929,13514,46,TJ
2001,124333,118602,66042,39884,14821,64,TJ
2002,134186,126039,70397,44765,16819,46,TJ
2003,150465,136911,76352,50364,16844,50,TJ
2004,161974,146030,82378,55760,18676,324,TJ
2005,164095,158788,89611,59288,15498,388,TJ
2006,175266,173109,99532,63597,16588,518,TJ
2007,186667,182797,106563,63611,16236,612,TJ
2008,196970,190425,112212,76244,14727,885,TJ
2009,210124,200268,118231,77058,13226,1015,TJ
2010,227016,219268,122525,87080,12844,1076,TJ
2011,248914,204386,105893,108072,13507,1274,TJ
2012,259160,220863,109472,113929,13085,1335,TJ
2013,259160,231764,112359,119253,13553,1029,TJ
2014,272480,256186,126615,126676,13813,1306,TJ
2015,199594,273974,139949,129920,14461,1976,TJ
2016,290448,282178,145922,130399,16920,1569,TJ
2017,311079,300251,154831,140225,18032,1715,TJ
2018,314969,306355,155026,135261,17937,1849,TJ
2019,314679,318600,164612,137661,18063,2240,TJ
2020,325159,332219,159576,146871,17477,2009,TJ
2021,340506,347898,167108,153803,18302,2104,TJ
