Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Industry,Transport,Residential,Units
1990,13.799,2.868,7.795,21.768,6.18,Mt CO2
1991,12.024,2.234,6.893,18.352,3.877,Mt CO2
1992,26.906,2.75,8.68,23.278,4.789,Mt CO2
1993,43.533,3.006,9.602,24.51,5.435,Mt CO2
1994,51.347,3.38,10.353,24.792,6.228,Mt CO2
1995,50.398,3.296,10.161,24.727,5.151,Mt CO2
1996,49.729,3.14,10.305,24.155,5.622,Mt CO2
1997,66.985,3.325,9.802,23.761,5.711,Mt CO2
1998,37.831,3.418,9.761,24.215,5.868,Mt CO2
1999,15.425,3.456,10.084,24.219,5.843,Mt CO2
2000,25.086,3.662,10.459,26.371,6.858,Mt CO2
2001,31.986,3.414,10.853,28.828,7.08,Mt CO2
2002,28.371,3.993,9.819,27.769,7.084,Mt CO2
2003,29.974,3.311,7.042,21.565,6.872,Mt CO2
2004,30.677,3.356,7.456,24.135,7.594,Mt CO2
2005,25.015,3.3,7,26.045,9.783,Mt CO2
2006,21.949,3.314,6.742,25.874,10.59,Mt CO2
2007,15.266,2.601,8.05,25.697,11.098,Mt CO2
2008,25.27,3.571,6.722,24.604,12.618,Mt CO2
2009,30.687,3.303,7.093,25.271,10.457,Mt CO2
2010,38.823,3.903,7.545,28.018,10.864,Mt CO2
2011,38.793,4.238,8.373,29.861,10.972,Mt CO2
2012,38.578,4.427,14.109,33.097,12.073,Mt CO2
2013,49.769,4.861,12.198,31.63,12.073,Mt CO2
2014,50.172,11.97,9.081,25.062,8.884,Mt CO2
2015,49.539,11.196,7.944,24.013,7.209,Mt CO2
2016,52.931,12.363,11.73,24.516,8.053,Mt CO2
2017,59.981,13.156,12.127,27.734,8.976,Mt CO2
2018,60.917,13.894,13.908,32.374,9.305,Mt CO2
2019,69.053,14.52,16.34,34.434,9.401,Mt CO2
2020,55.531,12.519,15.546,28.697,9.452,Mt CO2
2021,53.865,12.31,15.363,33.45,9.709,Mt CO2
