Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,2.968,tCO2 / Capita
1991,2.431,tCO2 / Capita
1992,3.612,tCO2 / Capita
1993,4.461,tCO2 / Capita
1994,4.746,tCO2 / Capita
1995,4.474,tCO2 / Capita
1996,4.296,tCO2 / Capita
1997,4.907,tCO2 / Capita
1998,3.518,tCO2 / Capita
1999,2.478,tCO2 / Capita
2000,2.941,tCO2 / Capita
2001,3.231,tCO2 / Capita
2002,2.934,tCO2 / Capita
2003,2.54,tCO2 / Capita
2004,2.628,tCO2 / Capita
2005,2.479,tCO2 / Capita
2006,2.369,tCO2 / Capita
2007,2.188,tCO2 / Capita
2008,2.491,tCO2 / Capita
2009,2.536,tCO2 / Capita
2010,2.852,tCO2 / Capita
2011,2.849,tCO2 / Capita
2012,3.021,tCO2 / Capita
2013,3.115,tCO2 / Capita
2014,2.862,tCO2 / Capita
2015,2.646,tCO2 / Capita
2016,2.832,tCO2 / Capita
2017,3.079,tCO2 / Capita
2018,3.213,tCO2 / Capita
2019,3.459,tCO2 / Capita
2020,2.861,tCO2 / Capita
2021,2.864,tCO2 / Capita
