Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Non-specified,Residential,Commercial and public services,Agriculture / forestry,Units
1990,32590,49489,,,,TJ
1991,28260,42336,,,,TJ
1992,34358,52459,,,,TJ
1993,35715,54759,,,,TJ
1994,38023,58629,,,,TJ
1995,40388,62596,,,,TJ
1996,40791,62193,,,,TJ
1997,41194,63781,,,,TJ
1998,42019,62956,,,,TJ
1999,42857,62117,,,,TJ
2000,43315,61660,,,,TJ
2001,43790,64335,,,,TJ
2002,45979,67554,,,,TJ
2003,38480,57542,,,,TJ
2004,45640,68248,,,,TJ
2005,15724,13021,47448,4881,,TJ
2006,10263,50374,33411,2969,,TJ
2007,11894,32457,31885,2343,,TJ
2008,17841,25279,31755,3744,,TJ
2009,19832,16200,48326,5666,,TJ
2010,24912,27410,65671,8693,,TJ
2011,29815,33832,68302,7876,,TJ
2012,29678,38613,49244,8737,,TJ
2013,35521,58453,57211,10965,,TJ
2014,36255,54828,56973,10317,,TJ
2015,23216,36021,59767,9100,,TJ
2016,18647,43070,69300,8420,,TJ
2017,18575,50734,66358,8301,,TJ
2018,18107,37958,89974,8942,,TJ
2019,16966,0,104309,28040,2156,TJ
2020,19220,0,108824,29534,2617,TJ
2021,19663,,114289,38034,3823,TJ
