Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Industry,Transport,Residential,Final consumption not elsewhere specified,Commercial and public services,Units
1990,17.555,2.215,3.176,8.033,1.414,0.423,,Mt CO2
1991,17.869,2.243,3.152,8.297,1.35,0.416,,Mt CO2
1992,20.55,2.318,1.628,9.069,1.366,0.622,,Mt CO2
1993,21.72,2.663,2.354,9.543,1.396,1.369,,Mt CO2
1994,23.594,2.47,2.658,10.259,1.478,1.393,,Mt CO2
1995,25.36,1.982,2.927,11.265,1.649,1.689,,Mt CO2
1996,27.351,1.555,2.809,11.888,1.756,1.698,,Mt CO2
1997,29.306,1.823,1.914,12.657,1.962,1.583,,Mt CO2
1998,29.549,2.731,1.682,11.788,2.085,1.477,,Mt CO2
1999,30.572,2.588,1.54,12.537,1.912,1.558,,Mt CO2
2000,33.235,2.787,1.473,13.365,2.356,1.627,,Mt CO2
2001,34.468,2.843,1.309,13.276,2.102,2.131,,Mt CO2
2002,37.617,2.669,1.288,13.815,1.964,1.904,,Mt CO2
2003,38.548,2.504,1.025,14.293,2.611,2.019,,Mt CO2
2004,38.952,2.019,0.88,14.164,2.629,2.529,,Mt CO2
2005,38.386,2.044,0.823,13.465,2.217,1.86,,Mt CO2
2006,39.824,2.905,0.892,13.769,2.559,2.056,,Mt CO2
2007,42.155,2.157,0.976,14.504,2.503,1.972,,Mt CO2
2008,41.298,2.158,1.692,15.982,2.199,1.149,,Mt CO2
2009,38.842,2.216,2.022,15.701,2.733,2.337,,Mt CO2
2010,40.905,3.14,3.019,16.448,2.649,2.276,,Mt CO2
2011,44.038,2.019,0.854,15.668,2.764,2.168,,Mt CO2
2012,49.14,1.872,1.309,17.15,2.717,1.562,,Mt CO2
2013,41.019,1.887,4.926,15.89,,1.05,,Mt CO2
2014,38.664,1.428,5.133,16.032,,1.108,,Mt CO2
2015,38.996,1.836,4.521,16.928,0.353,1.05,0.335,Mt CO2
2016,37.918,1.912,4.16,17.489,0.353,1.018,0.338,Mt CO2
2017,37.594,1.65,4.967,17.964,0.403,1.011,0.326,Mt CO2
2018,34.005,1.584,4.352,18.04,0.382,0.999,0.31,Mt CO2
2019,34.685,2.094,5.025,18.132,0.413,1.025,0.275,Mt CO2
2020,33.279,2.194,4.282,16.297,0.468,0.989,0.188,Mt CO2
2021,32.569,1.684,3.851,17.344,0.474,0.909,0.19,Mt CO2
