Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,7.041,tCO2 / Capita
1991,6.733,tCO2 / Capita
1992,6.939,tCO2 / Capita
1993,7.421,tCO2 / Capita
1994,7.751,tCO2 / Capita
1995,8.091,tCO2 / Capita
1996,8.274,tCO2 / Capita
1997,8.44,tCO2 / Capita
1998,8.248,tCO2 / Capita
1999,8.263,tCO2 / Capita
2000,8.7,tCO2 / Capita
2001,8.693,tCO2 / Capita
2002,8.991,tCO2 / Capita
2003,9.086,tCO2 / Capita
2004,8.948,tCO2 / Capita
2005,8.447,tCO2 / Capita
2006,8.748,tCO2 / Capita
2007,8.903,tCO2 / Capita
2008,8.772,tCO2 / Capita
2009,8.535,tCO2 / Capita
2010,8.98,tCO2 / Capita
2011,8.697,tCO2 / Capita
2012,9.328,tCO2 / Capita
2013,8.041,tCO2 / Capita
2014,7.595,tCO2 / Capita
2015,7.643,tCO2 / Capita
2016,7.397,tCO2 / Capita
2017,7.339,tCO2 / Capita
2018,6.72,tCO2 / Capita
2019,6.812,tCO2 / Capita
2020,6.262,tCO2 / Capita
2021,6.088,tCO2 / Capita
2022,6.092,tCO2 / Capita
