Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Residential,Commercial and public services,Agriculture / forestry,Non-specified,Units
1990,19040,19141,18460,3409,5410,TJ
1991,19252,20199,18647,3607,5464,TJ
1992,20473,24782,21740,3963,6368,TJ
1993,21564,25290,23785,4132,6966,TJ
1994,27504,27709,25671,4266,7520,TJ
1995,29944,29224,28205,4715,7956,TJ
1996,31896,31100,30848,5158,8265,TJ
1997,34185,34113,27644,5029,8481,TJ
1998,35715,36529,30898,5353,9036,TJ
1999,34779,36687,38602,5597,9370,TJ
2000,37609,41641,42332,5860,11422,TJ
2001,34927,42512,35679,5968,16308,TJ
2002,35600,45817,49968,5839,1227,TJ
2003,39977,47574,42944,6022,7394,TJ
2004,40118,48661,45028,6123,7610,TJ
2005,42472,49388,47098,6116,7855,TJ
2006,42623,51526,49625,6317,8186,TJ
2007,44107,54176,53157,6667,8744,TJ
2008,45021,54806,55695,6573,9889,TJ
2009,37918,54421,56250,6083,8920,TJ
2010,44956,55062,61142,5954,8272,TJ
2011,43253,57315,61441,6314,7916,TJ
2012,44812,62078,65347,6789,7466,TJ
2013,47451,56383,63910,6966,11192,TJ
2014,54759,57531,57430,6368,8654,TJ
2015,45883,63374,62952,9437,12825,TJ
2016,48401,65354,63938,9657,13123,TJ
2017,46594,66855,64367,10531,14311,TJ
2018,50384,66690,64565,10721,14569,TJ
2019,45075,72354,66537,13409,18223,TJ
2020,45414,77995,61007,13462,18295,TJ
2021,46840,76112,63937,13417,18234,TJ
