Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Industry,Transport,Residential,Commercial and public services,Agriculture,Fishing,Final consumption not elsewhere specified,Units
1990,389.686,49.246,262.532,211.962,57.096,63.065,9.706,8.415,0.109,Mt CO2
1991,390.884,48.694,261.059,222.329,58.168,63.82,9.872,8.646,0.13,Mt CO2
1992,396.164,48.726,256.545,227.018,61.059,65.167,10.074,8.483,0.146,Mt CO2
1993,378.508,50.166,255.061,232.118,64.442,67.876,10.103,7.964,0.146,Mt CO2
1994,418.697,51.561,257.682,244.242,62.741,66.495,10.235,6.679,0.142,Mt CO2
1995,407.64,51.229,262.694,252.451,66.293,71.298,10.664,6.44,0.154,Mt CO2
1996,413.342,51.534,262.093,258.272,68.741,67.981,11.053,6.624,3.156,Mt CO2
1997,406.199,53.15,255.001,260.471,65.681,71.105,10.728,6.606,3.753,Mt CO2
1998,389.798,52.363,232.011,259.662,65.802,74.813,10.535,6.646,3.31,Mt CO2
1999,415.318,53.209,235.166,261.999,67.602,80.717,10.777,5.948,3.227,Mt CO2
2000,425.754,50.802,239.713,261.543,71.315,79.54,11.401,6.034,3.251,Mt CO2
2001,419.003,49.211,234.339,263.621,67.69,82.638,11.693,6.429,3.363,Mt CO2
2002,448.859,49.202,236.622,259.115,70.49,87.244,11.491,5.909,5.402,Mt CO2
2003,467.764,48.738,233.421,256.84,67.062,85.184,10.994,6.57,5.437,Mt CO2
2004,462.206,48.817,232.486,256.793,67.264,84.893,11.459,6.418,5.663,Mt CO2
2005,471.114,48.423,234.358,254.017,69.685,83.37,11.083,6.372,4.791,Mt CO2
2006,459.802,48.197,235.032,250.133,65.515,81.542,9.852,6.326,4.674,Mt CO2
2007,509.578,49.957,231.909,242.909,64.781,77.283,9.895,6.289,4.744,Mt CO2
2008,487.161,45.837,211.884,233.809,61.104,72.446,8.517,5.119,4.419,Mt CO2
2009,458.793,45.214,200.034,227.636,60.758,63.749,10.557,5.981,4.362,Mt CO2
2010,500.365,47.607,211.893,228.65,63.615,62.004,10.074,5.211,3.503,Mt CO2
2011,560.475,45.309,218.444,223.027,61.952,62.306,9.152,5.025,3.122,Mt CO2
2012,610.32,45.176,214.685,220.699,62.014,58.668,9.058,4.802,3.316,Mt CO2
2013,620.183,45.21,215.406,218.027,59.863,66.03,8.286,4.327,3.269,Mt CO2
2014,590.731,43.958,209.047,211.967,57.554,61.835,8.089,4.535,3.305,Mt CO2
2015,564.361,43.247,201.279,211.343,54.982,59.246,9.354,5.09,3.289,Mt CO2
2016,565.1,41.45,194.648,208.908,55.284,55.08,10.134,5.435,3.261,Mt CO2
2017,550.537,38.858,195.189,207.05,58.803,56.012,10.66,5.021,2.965,Mt CO2
2018,521.27,39.869,194.315,204.508,51.834,57.742,8.487,4.769,2.831,Mt CO2
2019,497.762,38.469,186.962,200.358,53.035,54.69,9.38,5.048,2.55,Mt CO2
2020,482.234,33.293,171.931,181.229,55.468,50.421,8.022,5.493,2.537,Mt CO2
2021,481.885,34.124,181.613,183.235,51.204,49.936,8.584,5.217,2.337,Mt CO2
