Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,8.509,tCO2 / Capita
1991,8.57,tCO2 / Capita
1992,8.617,tCO2 / Capita
1993,8.535,tCO2 / Capita
1994,8.94,tCO2 / Capita
1995,9,tCO2 / Capita
1996,9.091,tCO2 / Capita
1997,8.989,tCO2 / Capita
1998,8.666,tCO2 / Capita
1999,8.958,tCO2 / Capita
2000,9.062,tCO2 / Capita
2001,8.951,tCO2 / Capita
2002,9.218,tCO2 / Capita
2003,9.261,tCO2 / Capita
2004,9.207,tCO2 / Capita
2005,9.262,tCO2 / Capita
2006,9.082,tCO2 / Capita
2007,9.356,tCO2 / Capita
2008,8.827,tCO2 / Capita
2009,8.413,tCO2 / Capita
2010,8.848,tCO2 / Capita
2011,9.3,tCO2 / Capita
2012,9.633,tCO2 / Capita
2013,9.743,tCO2 / Capita
2014,9.359,tCO2 / Capita
2015,9.065,tCO2 / Capita
2016,8.976,tCO2 / Capita
2017,8.88,tCO2 / Capita
2018,8.586,tCO2 / Capita
2019,8.309,tCO2 / Capita
2020,7.88,tCO2 / Capita
2021,7.953,tCO2 / Capita
2022,7.914,tCO2 / Capita
