Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Agriculture / forestry,Fishing,Units
1990,1535319,60514,638494,508107,8753,2130,TJ
1991,1530821,64136,674820,556101,8721,2075,TJ
1992,1496188,64010,695753,597188,8707,2018,TJ
1993,1455693,65341,721568,635466,8660,1780,TJ
1994,1495177,66090,788769,716416,8913,1680,TJ
1995,1476054,67518,818788,765079,9147,1551,TJ
1996,1508856,67343,813949,807759,9742,1499,TJ
1997,1504934,67412,813706,848962,9717,1443,TJ
1998,1434412,67370,847572,919735,9385,1499,TJ
1999,1451682,67341,878406,946573,9500,1435,TJ
2000,1505591,66863,902925,1015227,9690,1344,TJ
2001,1444528,66367,909980,1010575,10076,1239,TJ
2002,1448789,66620,938508,1040884,9656,1160,TJ
2003,1425377,65866,935798,1045466,9655,1165,TJ
2004,1454438,66949,961435,1109474,10445,1115,TJ
2005,1466060,68031,997356,1147078,9757,1167,TJ
2006,1476895,66949,981156,1168256,10334,1261,TJ
2007,1506613,67421,999476,1234732,11089,1408,TJ
2008,1360767,67028,996136,1241471,11918,1235,TJ
2009,1296033,65064,983139,1205085,9874,907,TJ
2010,1363599,65678,1073597,1212815,10647,1167,TJ
2011,1298482,63924,1019557,1192483,11803,1474,TJ
2012,1292852,63628,1039468,1160253,11564,1422,TJ
2013,1300203,63795,1020123,1165889,10681,1725,TJ
2014,1278349,63372,974981,1175910,10738,1824,TJ
2015,1240963,63183,965136,1137192,10055,1637,TJ
2016,1234185,63153,963107,1150756,9268,2059,TJ
2017,1246235,62986,986318,1163988,10919,2587,TJ
2018,1249746,62294,942440,1137376,9921,2697,TJ
2019,1216407,62270,907423,1138752,10251,3024,TJ
2020,1162885,62270,952440,1097918,9921,3245,TJ
2021,1230433,62270,893685,1155319,9912,3257,TJ
