Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,14.513,tCO2 / Capita
1991,14.975,tCO2 / Capita
1992,15.354,tCO2 / Capita
1993,13.201,tCO2 / Capita
1994,12.042,tCO2 / Capita
1995,10.781,tCO2 / Capita
1996,9.517,tCO2 / Capita
1997,8.192,tCO2 / Capita
1998,8.51,tCO2 / Capita
1999,7.764,tCO2 / Capita
2000,7.526,tCO2 / Capita
2001,7.353,tCO2 / Capita
2002,8.047,tCO2 / Capita
2003,9.042,tCO2 / Capita
2004,9.753,tCO2 / Capita
2005,10.359,tCO2 / Capita
2006,11.297,tCO2 / Capita
2007,12.09,tCO2 / Capita
2008,14.595,tCO2 / Capita
2009,12.597,tCO2 / Capita
2010,13.546,tCO2 / Capita
2011,14.182,tCO2 / Capita
2012,13.925,tCO2 / Capita
2013,14.625,tCO2 / Capita
2014,11.444,tCO2 / Capita
2015,10.256,tCO2 / Capita
2016,10.869,tCO2 / Capita
2017,11.423,tCO2 / Capita
2018,11.422,tCO2 / Capita
2019,10.669,tCO2 / Capita
2020,10.896,tCO2 / Capita
2021,11.772,tCO2 / Capita
