Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Agriculture / forestry,Non-specified,Residential,Commercial and public services,Fishing,Units
1990,230166,23288,49348,44722,,,,TJ
1991,217079,22715,50868,43455,,,,TJ
1992,207215,21671,48563,39430,,,,TJ
1993,161737,17888,58957,,28429,,,TJ
1994,86968,15750,57405,18756,28551,,,TJ
1995,84009,13827,46537,16999,24418,,,TJ
1996,75074,12355,40194,15192,21819,,,TJ
1997,67269,11070,28472,13611,19551,,,TJ
1998,36374,11768,27529,35042,19472,,,TJ
1999,36759,11894,27820,35409,19677,,,TJ
2000,76226,5435,12247,15602,17154,,,TJ
2001,84319,6012,13550,17258,18971,,,TJ
2002,85561,6091,14623,16596,19224,,,TJ
2003,90928,6476,20678,12495,20430,,,TJ
2004,93754,6674,19601,14601,21067,,,TJ
2005,158475,12412,8467,10472,28947,,,TJ
2006,168227,14194,8665,14490,29253,,,TJ
2007,178070,15483,8812,18183,29588,,,TJ
2008,128599,12160,2588,,29951,13759,21,TJ
2009,129394,9827,1555,,30743,15246,17,TJ
2010,144435,11246,2224,,31968,16732,10,TJ
2011,159739,14201,2170,,33897,23083,14,TJ
2012,176983,12067,1609,,36504,18511,17,TJ
2013,159408,10656,2865,,38419,25250,17,TJ
2014,158479,9038,2689,,41864,30509,32,TJ
2015,158981,9255,2917,,43366,29418,16,TJ
2016,163684,8190,2307,,43935,24610,19,TJ
2017,171381,10625,2679,,61187,28108,41,TJ
2018,181425,11642,2864,,63756,29452,35,TJ
2019,158689,12690,3010,,55739,28871,38,TJ
2020,158319,10578,4578,,51331,27587,44,TJ
2021,158380,13633,6958,,53505,79893,358,TJ
