Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,2.832,tCO2 / Capita
1991,3.327,tCO2 / Capita
1992,3.396,tCO2 / Capita
1993,3.557,tCO2 / Capita
1994,3.726,tCO2 / Capita
1995,3.952,tCO2 / Capita
1996,4.394,tCO2 / Capita
1997,4.579,tCO2 / Capita
1998,4.48,tCO2 / Capita
1999,4.754,tCO2 / Capita
2000,5.015,tCO2 / Capita
2001,5.116,tCO2 / Capita
2002,5.24,tCO2 / Capita
2003,5.368,tCO2 / Capita
2004,5.786,tCO2 / Capita
2005,6.061,tCO2 / Capita
2006,6.155,tCO2 / Capita
2007,6.622,tCO2 / Capita
2008,6.923,tCO2 / Capita
2009,6.057,tCO2 / Capita
2010,6.648,tCO2 / Capita
2011,6.579,tCO2 / Capita
2012,6.517,tCO2 / Capita
2013,6.94,tCO2 / Capita
2014,7.202,tCO2 / Capita
2015,7.094,tCO2 / Capita
2016,6.868,tCO2 / Capita
2017,6.596,tCO2 / Capita
2018,7.042,tCO2 / Capita
2019,7.06,tCO2 / Capita
2020,6.803,tCO2 / Capita
2021,6.727,tCO2 / Capita
