Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Residential,Commercial and public services,Transport,Agriculture / forestry,Units
1990,34750,14547,22503,,,TJ
1991,39229,16243,25124,,,TJ
1992,47602,17773,27485,,,TJ
1993,54554,18856,29167,,,TJ
1994,65606,22438,34707,,,TJ
1995,76449,25466,39387,,,TJ
1996,84949,28720,44424,43,,TJ
1997,101404,32238,49863,43,,TJ
1998,100943,36590,54068,43,,TJ
1999,108478,37054,55893,169,,TJ
2000,117439,40820,61894,183,,TJ
2001,122680,45277,66117,126,,TJ
2002,128066,48600,71110,179,,TJ
2003,135727,52264,76107,212,,TJ
2004,139845,55224,82843,194,,TJ
2005,141134,58406,90950,226,,TJ
2006,145494,63410,95331,226,,TJ
2007,150163,66891,104486,147,,TJ
2008,154364,69814,108755,622,813,TJ
2009,179272,75009,114825,522,882,TJ
2010,189773,81097,126442,752,1004,TJ
2011,185792,82479,132555,752,1087,TJ
2012,203939,89009,139212,878,1256,TJ
2013,216507,94701,145126,871,1350,TJ
2014,212353,98222,149302,921,1508,TJ
2015,217702,103456,153374,957,1695,TJ
2016,243752,112132,159764,1227,1958,TJ
2017,257274,109283,157511,1651,2102,TJ
2018,274100,106893,165731,1734,2223,TJ
2019,282526,113652,171063,1719,2390,TJ
2020,267281,130788,145719,1404,2477,TJ
2021,278673,132889,144151,1256,2470,TJ
