Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,2.951,tCO2 / Capita
1991,3.104,tCO2 / Capita
1992,3.084,tCO2 / Capita
1993,3.118,tCO2 / Capita
1994,3.324,tCO2 / Capita
1995,3.083,tCO2 / Capita
1996,3.179,tCO2 / Capita
1997,3.323,tCO2 / Capita
1998,3.507,tCO2 / Capita
1999,3.369,tCO2 / Capita
2000,3.565,tCO2 / Capita
2001,3.531,tCO2 / Capita
2002,3.559,tCO2 / Capita
2003,3.692,tCO2 / Capita
2004,3.738,tCO2 / Capita
2005,3.854,tCO2 / Capita
2006,3.943,tCO2 / Capita
2007,3.954,tCO2 / Capita
2008,3.911,tCO2 / Capita
2009,3.774,tCO2 / Capita
2010,3.86,tCO2 / Capita
2011,3.952,tCO2 / Capita
2012,3.931,tCO2 / Capita
2013,3.803,tCO2 / Capita
2014,3.632,tCO2 / Capita
2015,3.661,tCO2 / Capita
2016,3.654,tCO2 / Capita
2017,3.615,tCO2 / Capita
2018,3.341,tCO2 / Capita
2019,3.364,tCO2 / Capita
2020,2.807,tCO2 / Capita
2021,2.933,tCO2 / Capita
2022,3.061,tCO2 / Capita
