Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Agriculture / forestry,Non-specified,Units
1990,192218,2894,73407,39124,24145,28907,TJ
1991,204472,2901,79138,47883,23389,,TJ
1992,208771,3142,86580,50918,20419,,TJ
1993,213645,3218,91836,53067,21312,,TJ
1994,232077,3387,100007,54539,23583,,TJ
1995,246452,3527,102459,53762,24084,,TJ
1996,215380,3571,102535,51973,27154,,TJ
1997,239806,3589,106714,53935,27543,,TJ
1998,254696,3599,114083,56480,27874,,TJ
1999,273229,3643,120135,59025,28785,,TJ
2000,297561,3960,130060,63230,28443,,TJ
2001,295671,4050,138038,65303,26866,,TJ
2002,301719,4068,140515,66974,25977,,TJ
2003,358002,3995,143499,68245,26416,20174,TJ
2004,378586,3931,146638,69105,25084,30463,TJ
2005,393591,3931,153111,69980,29041,33163,TJ
2006,409032,3920,153111,69980,29041,33163,TJ
2007,422899,3920,165006,72709,28094,40611,TJ
2008,431064,3999,170823,74527,29192,42876,TJ
2009,411123,4017,174743,76330,33476,41407,TJ
2010,441766,4287,175320,74512,30960,49651,TJ
2011,484383,4039,186375,77972,39502,49467,TJ
2012,528285,4068,187307,80251,38937,52905,TJ
2013,494607,4068,188532,82814,37015,62254,TJ
2014,512373,4068,194090,82598,36100,78760,TJ
2015,503963,4082,201549,85604,36212,95407,TJ
2016,525402,4104,212277,86381,40806,104349,TJ
2017,530874,3877,212950,85208,41655,104349,TJ
2018,606211,3862,227800,118105,44560,78364,TJ
2019,552358,3981,232149,103379,47271,69130,TJ
2020,630572,3402,260096,69101,52786,63892,TJ
2021,617293,5693,250063,64713,48632,75751,TJ
