Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,14.622,tCO2 / Capita
1991,14.397,tCO2 / Capita
1992,13.191,tCO2 / Capita
1993,12.123,tCO2 / Capita
1994,10.757,tCO2 / Capita
1995,10.435,tCO2 / Capita
1996,10.27,tCO2 / Capita
1997,9.565,tCO2 / Capita
1998,9.525,tCO2 / Capita
1999,9.802,tCO2 / Capita
2000,10.057,tCO2 / Capita
2001,10.102,tCO2 / Capita
2002,10.088,tCO2 / Capita
2003,10.328,tCO2 / Capita
2004,10.33,tCO2 / Capita
2005,10.325,tCO2 / Capita
2006,10.749,tCO2 / Capita
2007,10.74,tCO2 / Capita
2008,10.886,tCO2 / Capita
2009,10.09,tCO2 / Capita
2010,10.705,tCO2 / Capita
2011,11.225,tCO2 / Capita
2012,11.229,tCO2 / Capita
2013,10.93,tCO2 / Capita
2014,10.789,tCO2 / Capita
2015,10.639,tCO2 / Capita
2016,10.459,tCO2 / Capita
2017,10.638,tCO2 / Capita
2018,11.085,tCO2 / Capita
2019,11.359,tCO2 / Capita
2020,10.826,tCO2 / Capita
2021,11.695,tCO2 / Capita
