Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Agriculture / forestry,Fishing,Units
1990,1734199,373564,385009,240782,242315,,TJ
1991,1659956,348260,418316,240454,253724,,TJ
1992,1508943,312386,416789,233226,251532,,TJ
1993,1355169,276195,436201,224085,249127,,TJ
1994,1146121,246225,453783,219715,221187,,TJ
1995,1130453,234576,453830,216187,190940,,TJ
1996,1058796,233755,475254,221065,175341,,TJ
1997,1049662,228470,478677,215211,151538,,TJ
1998,1019322,216118,484466,224665,138110,,TJ
1999,1065758,218239,504331,221605,123487,,TJ
2000,1124650,219297,506602,231375,108766,,TJ
2001,1157724,223718,513136,238816,91530,,TJ
2002,1150707,244188,513691,235346,81720,,TJ
2003,1181833,270698,512114,238136,73252,,TJ
2004,1202727,289162,515934,251315,64774,,TJ
2005,1187557,299412,392094,399409,60616,813,TJ
2006,1272808,309157,405097,404607,60368,1004,TJ
2007,1270000,311925,417347,464896,58248,971,TJ
2008,1296295,299152,421682,537667,55886,971,TJ
2009,1121101,292341,445705,555958,54370,971,TJ
2010,1176656,307022,466902,607989,56480,1008,TJ
2011,1198144,325278,471200,574671,53463,1008,TJ
2012,1218988,331347,475923,582728,55000,1036,TJ
2013,1212091,326012,502919,582325,54403,975,TJ
2014,1201323,324921,525308,546386,57297,950,TJ
2015,1184400,295632,538336,558695,58525,831,TJ
2016,1174834,297248,577769,565938,61783,720,TJ
2017,1219626,279311,599302,575528,64423,992,TJ
2018,1225064,295234,598699,547824,66595,1076,TJ
2019,1225989,293861,579160,550328,69850,1099,TJ
2020,1199284,278645,588326,553544,69962,1101,TJ
2021,1306922,295416,632766,595356,75778,1193,TJ
