Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Industry,Transport,Residential,Agriculture,Final consumption not elsewhere specified,Other energy industries,Commercial and public services,Units
1990,40.41,9.795,4.469,2.082,0.229,4.919,,,Mt CO2
1991,35.795,7.231,3.192,1.347,0.194,4.371,0.069,,Mt CO2
1992,34.21,7.289,2.262,2.804,0.291,1.132,,,Mt CO2
1993,31.481,4.456,2.699,2.783,0.306,0.99,,,Mt CO2
1994,28.789,3.931,2.624,2.449,0.259,0.851,,,Mt CO2
1995,36.404,3.17,2.732,1.518,0.087,0.635,,,Mt CO2
1996,35.437,7.674,4.589,2.528,0.209,1.211,,,Mt CO2
1997,38.41,7.718,6.316,2.438,0.207,1.224,,,Mt CO2
1998,38.054,9.244,4.896,2.748,0.323,0.942,,,Mt CO2
1999,28.467,5.293,2.59,2.37,0.292,0.995,,,Mt CO2
2000,32.069,5.255,2.327,2.319,0.273,0.693,,,Mt CO2
2001,31.614,6.103,3.696,2.222,0.267,1.099,,,Mt CO2
2002,33.126,6.535,4.49,2.454,0.282,1.692,,,Mt CO2
2003,34.678,7.847,4.918,2.612,0.301,1.787,,,Mt CO2
2004,35.758,9.641,6.278,2.744,0.309,1.612,,,Mt CO2
2005,33.007,6.866,6.561,2.438,,0.26,,0.362,Mt CO2
2006,34.857,7.697,7.091,1.393,,0.284,,0.36,Mt CO2
2007,31.255,8.33,5.544,3.079,0.636,0.892,0.009,0.349,Mt CO2
2008,30.333,7.592,6.926,2.352,0.189,,0.193,0.803,Mt CO2
2009,31.749,4.184,6.524,1.456,0.284,,0.538,1.054,Mt CO2
2010,30.986,4.877,6.577,1.556,0.224,,0.512,1.319,Mt CO2
2011,34.277,5.634,5.935,1.902,0.248,,0.361,1.839,Mt CO2
2012,31.041,4.943,5.227,1.719,0.452,,0.465,1.062,Mt CO2
2013,32.511,4.158,5.766,1.457,0.458,,0.563,0.784,Mt CO2
2014,25.74,3.645,6.023,1.161,0.37,,0.695,0.677,Mt CO2
2015,31.654,3.439,5.868,1.168,0.352,,1.42,0.819,Mt CO2
2016,31.691,3.813,6.009,1.461,0.475,,1.553,0.882,Mt CO2
2017,32.235,3.624,6.278,1.521,0.456,,1.6,0.833,Mt CO2
2018,30.471,4.031,6.37,1.413,0.392,,1.841,0.802,Mt CO2
2019,30.391,3.443,6.886,1.468,0.331,,1.961,0.774,Mt CO2
2020,31.554,2.742,6.562,1.669,0.316,,1.674,0.847,Mt CO2
2021,29.71,2.716,7.501,1.387,0.27,,1.698,0.91,Mt CO2
