Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,6.157,tCO2 / Capita
1991,5.168,tCO2 / Capita
1992,4.711,tCO2 / Capita
1993,4.158,tCO2 / Capita
1994,3.761,tCO2 / Capita
1995,4.339,tCO2 / Capita
1996,5.021,tCO2 / Capita
1997,5.472,tCO2 / Capita
1998,5.543,tCO2 / Capita
1999,4.038,tCO2 / Capita
2000,5.287,tCO2 / Capita
2001,5.548,tCO2 / Capita
2002,5.993,tCO2 / Capita
2003,6.443,tCO2 / Capita
2004,6.976,tCO2 / Capita
2005,6.652,tCO2 / Capita
2006,6.973,tCO2 / Capita
2007,6.786,tCO2 / Capita
2008,6.584,tCO2 / Capita
2009,6.255,tCO2 / Capita
2010,6.316,tCO2 / Capita
2011,6.939,tCO2 / Capita
2012,6.239,tCO2 / Capita
2013,6.379,tCO2 / Capita
2014,5.373,tCO2 / Capita
2015,6.304,tCO2 / Capita
2016,6.501,tCO2 / Capita
2017,6.63,tCO2 / Capita
2018,6.491,tCO2 / Capita
2019,6.517,tCO2 / Capita
2020,6.576,tCO2 / Capita
2021,6.467,tCO2 / Capita
