Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Agriculture / forestry,Non-specified,Units
1990,49748,1641,38390,2509,687,19307,TJ
1991,42948,1519,43588,2462,766,15203,TJ
1992,39347,1231,43200,1742,766,16672,TJ
1993,19976,918,55537,986,619,1940,TJ
1994,21596,950,57614,1022,640,1717,TJ
1995,21967,954,58010,1029,644,8269,TJ
1996,22510,979,59443,1054,658,12333,TJ
1997,23813,1033,62888,1116,698,10135,TJ
1998,23252,1011,61408,1090,680,12607,TJ
1999,21214,921,56030,993,619,12687,TJ
2000,22791,899,58679,1069,665,14560,TJ
2001,25257,864,58816,1184,737,16232,TJ
2002,25743,899,58679,1205,752,16867,TJ
2003,24062,899,58679,1126,702,16781,TJ
2004,21618,860,49053,16524,745,13723,TJ
2005,21794,885,51087,17841,777,,TJ
2006,21513,921,50623,18702,770,,TJ
2007,24299,918,50158,19328,763,,TJ
2008,25437,950,50752,20214,774,,TJ
2009,24379,1807,51883,17380,1065,,TJ
2010,26960,806,52721,17845,1641,,TJ
2011,27666,1904,52793,18010,1155,,TJ
2012,25574,1771,52261,17704,1112,,TJ
2013,26103,1720,50925,17636,1083,,TJ
2014,26002,1209,49687,16437,1072,,TJ
2015,27140,1263,50623,17712,1141,,TJ
2016,28803,1267,50151,18017,1126,,TJ
2017,30247,1348,49734,18684,1231,,TJ
2018,31447,1348,48292,18659,1227,,TJ
2019,31618,1349,48024,18555,1230,,TJ
2020,31022,1288,49385,17482,1192,,TJ
2021,33768,1382,49955,18722,1288,,TJ
