Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,9.508,tCO2 / Capita
1991,9.721,tCO2 / Capita
1992,9.722,tCO2 / Capita
1993,10.916,tCO2 / Capita
1994,11.108,tCO2 / Capita
1995,10.662,tCO2 / Capita
1996,10.493,tCO2 / Capita
1997,10.053,tCO2 / Capita
1998,9.434,tCO2 / Capita
1999,9.548,tCO2 / Capita
2000,10.456,tCO2 / Capita
2001,10.157,tCO2 / Capita
2002,9.888,tCO2 / Capita
2003,9.273,tCO2 / Capita
2004,9.508,tCO2 / Capita
2005,8.65,tCO2 / Capita
2006,8.446,tCO2 / Capita
2007,8.343,tCO2 / Capita
2008,7.94,tCO2 / Capita
2009,7.785,tCO2 / Capita
2010,8.354,tCO2 / Capita
2011,8.636,tCO2 / Capita
2012,8.225,tCO2 / Capita
2013,8.133,tCO2 / Capita
2014,8.117,tCO2 / Capita
2015,8.208,tCO2 / Capita
2016,8.02,tCO2 / Capita
2017,8.433,tCO2 / Capita
2018,7.995,tCO2 / Capita
2019,7.903,tCO2 / Capita
2020,7.678,tCO2 / Capita
2021,8.351,tCO2 / Capita
