Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Agriculture / forestry,Non-specified,Units
1990,19818,669,8611,17510,50,,TJ
1991,19666,669,9568,18514,82,,TJ
1992,20206,669,10396,19965,82,,TJ
1993,21693,669,11246,21844,82,,TJ
1994,24155,712,12477,24069,82,,TJ
1995,25308,712,13798,25945,82,,TJ
1996,27064,849,14986,28162,89,,TJ
1997,30729,892,17053,31208,100,,TJ
1998,31896,925,19180,33631,115,,TJ
1999,34981,971,19238,35355,122,,TJ
2000,38368,1047,20613,38134,133,,TJ
2001,37638,1090,21546,39711,140,,TJ
2002,39434,1151,22852,41932,147,,TJ
2003,42008,1130,23425,41104,144,,TJ
2004,43318,1170,23490,42602,147,,TJ
2005,50752,4319,21934,48553,,2203,TJ
2006,52826,4481,21992,51220,,1965,TJ
2007,54900,4680,22190,54323,,1807,TJ
2008,55306,5039,21938,56422,,1648,TJ
2009,53560,5788,23151,55771,,1490,TJ
2010,60548,7556,23889,58726,,1385,TJ
2011,61732,8006,23338,60498,,1249,TJ
2012,63334,8384,23868,62441,,1094,TJ
2013,63968,8528,24318,64054,,946,TJ
2014,66797,8787,24926,65681,,856,TJ
2015,67863,8802,25995,67384,,1004,TJ
2016,68284,9503,27309,68936,,1008,TJ
2017,71419,9975,26243,70062,,995,TJ
2018,71716,10610,26033,72368,,930,TJ
2019,71604,10869,27652,75213,,888,TJ
2020,70417,10112,29680,71771,,825,TJ
2021,74918,10240,29799,76750,,830,TJ
