Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Industry,Transport,Residential,Commercial and public services,Agriculture,Final consumption not elsewhere specified,Fishing,Units
1990,143.458,2.369,54.122,29.545,7.702,3.615,3.027,,,Mt CO2
1991,142.994,2.374,48.832,29.574,7.864,3.952,3.108,,,Mt CO2
1992,145.299,2.377,42.887,30.062,7.719,4.007,3.039,,,Mt CO2
1993,155.65,1.866,35.417,30.226,10.027,4.876,4.577,0.197,,Mt CO2
1994,159.442,1.969,36.36,31.33,9.481,4.497,4.806,0.268,,Mt CO2
1995,167.155,2.318,37.181,35.173,8.414,3.907,4.834,0.787,,Mt CO2
1996,175.204,2.221,41.335,34.318,7.565,3.365,4.991,0.594,,Mt CO2
1997,184.317,3.025,45.048,35.227,7.748,3.505,4.605,0.566,,Mt CO2
1998,192.075,2.32,47.562,34.891,7.543,3.167,4.045,0.03,0.348,Mt CO2
1999,181.96,2.455,40.825,35.359,6.971,2.681,3.639,0.015,0.371,Mt CO2
2000,189.392,2.538,40.549,35.18,6.568,2.623,3.335,0.015,0.323,Mt CO2
2001,176.081,51.242,36.526,36.005,8.98,3.828,3.48,0.025,0.319,Mt CO2
2002,180.355,50.197,39.822,36.791,11.011,4.755,3.492,0.019,0.393,Mt CO2
2003,200.354,45.32,42.114,38.977,12.311,5.272,3.534,,0.383,Mt CO2
2004,214.177,47.002,49.092,41.254,13.955,5.951,3.467,,0.406,Mt CO2
2005,210.271,40.733,52.978,43.201,15.057,6.464,3.114,0.045,0.422,Mt CO2
2006,212.829,39.545,49.138,44.351,16.701,7.472,3.113,0.639,0.383,Mt CO2
2007,219.855,45.744,42.745,48.752,20.454,9.492,2.921,1.007,0.531,Mt CO2
2008,247.087,46.347,43.882,47.053,22.041,10.345,2.463,1.855,0.512,Mt CO2
2009,228.079,28.359,61.095,45.07,21.187,10.048,2.351,1.818,0.593,Mt CO2
2010,242.749,59.766,51.463,46.499,9.496,4.373,3.06,2.708,0.182,Mt CO2
2011,230.284,56.997,44.536,48.781,11.223,5.046,4.268,3.381,0.182,Mt CO2
2012,235.887,58.701,45.596,48.843,16.992,7.984,4.706,3.407,0.172,Mt CO2
2013,238.434,54.249,51.622,53.649,17.566,8.569,5.157,2.628,0.343,Mt CO2
2014,249.932,54.208,53.369,51.206,17.763,8.685,5.451,2.262,0.324,Mt CO2
2015,229.926,55.03,49.28,53.554,15.945,7.513,4.969,2.816,0.203,Mt CO2
2016,235.839,55.15,49.057,50.922,14.415,6.712,4.542,2.533,0.184,Mt CO2
2017,225.045,59.694,46.113,55.411,22.879,11.092,5.624,2.857,0.194,Mt CO2
2018,233.28,57.971,54.244,54.241,16.969,8.284,4.939,2.648,0.19,Mt CO2
2019,253.681,57.91,51.907,51.674,11.634,5.594,4.385,2.577,0.196,Mt CO2
2020,215.513,54.763,48.239,44.311,11.596,5.251,3.953,2.335,0.187,Mt CO2
2021,214.671,55.695,49.055,48.221,11.546,5.478,4.295,2.57,0.211,Mt CO2
