Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,6.115,tCO2 / Capita
1991,5.835,tCO2 / Capita
1992,5.637,tCO2 / Capita
1993,5.711,tCO2 / Capita
1994,5.735,tCO2 / Capita
1995,5.906,tCO2 / Capita
1996,6.036,tCO2 / Capita
1997,6.272,tCO2 / Capita
1998,6.368,tCO2 / Capita
1999,5.916,tCO2 / Capita
2000,5.993,tCO2 / Capita
2001,6.701,tCO2 / Capita
2002,6.857,tCO2 / Capita
2003,7.24,tCO2 / Capita
2004,7.729,tCO2 / Capita
2005,7.595,tCO2 / Capita
2006,7.56,tCO2 / Capita
2007,7.831,tCO2 / Capita
2008,8.337,tCO2 / Capita
2009,7.79,tCO2 / Capita
2010,8.116,tCO2 / Capita
2011,7.717,tCO2 / Capita
2012,7.946,tCO2 / Capita
2013,8.023,tCO2 / Capita
2014,8.098,tCO2 / Capita
2015,7.503,tCO2 / Capita
2016,7.433,tCO2 / Capita
2017,7.572,tCO2 / Capita
2018,7.547,tCO2 / Capita
2019,7.567,tCO2 / Capita
2020,6.567,tCO2 / Capita
2021,6.596,tCO2 / Capita
