Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Agriculture / forestry,Non-specified,Units
1990,296427,14248,80794,61239,13107,32731,TJ
1991,296747,13266,83055,61617,13359,28004,TJ
1992,262094,16664,69818,45446,14536,49125,TJ
1993,272541,14461,77551,48913,11188,46979,TJ
1994,272451,15796,79613,50608,17568,55148,TJ
1995,290365,15444,87728,62330,19083,32551,TJ
1996,323654,15343,106387,71211,18370,66322,TJ
1997,329256,16372,110599,79862,20304,74019,TJ
1998,366717,16610,108586,50396,20257,48967,TJ
1999,358822,15847,106239,63846,20717,35467,TJ
2000,348991,19367,103247,61902,14234,79149,TJ
2001,373823,19864,124642,65883,15030,2232,TJ
2002,406893,22319,109504,65617,16718,24062,TJ
2003,384170,19702,122669,75855,18514,47944,TJ
2004,406367,22356,130431,89963,22172,6454,TJ
2005,396086,19598,133092,97570,19872,29278,TJ
2006,408689,12164,142815,103798,21027,28800,TJ
2007,424310,23893,148222,107729,21823,25970,TJ
2008,421538,12855,145015,105397,21351,21020,TJ
2009,410565,12740,141091,102542,20772,5544,TJ
2010,435780,12952,146826,106711,21618,5770,TJ
2011,440744,13604,147689,107341,21743,5803,TJ
2012,427762,13798,141584,102902,20844,5562,TJ
2013,425530,13481,140846,102366,20736,5533,TJ
2014,422737,13370,139921,101692,20599,5497,TJ
2015,396234,12495,145594,103798,25200,5457,TJ
2016,390261,13420,174682,133199,21484,2685,TJ
2017,385586,12359,175920,134143,21637,2704,TJ
2018,383715,11223,178183,135869,21915,2739,TJ
2019,372905,11058,175190,133587,21547,2693,TJ
2020,355173,8569,166860,127235,20522,2565,TJ
2021,362876,9313,170479,129994,20967,2620,TJ
