Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Other energy industries,Industry,Transport,Residential,Commercial and public services,Agriculture,Units
1990,28.003,2.739,14.744,28.001,1.463,0.979,5.611,Mt CO2
1991,34.221,2.885,16.428,28.747,1.447,0.989,5.693,Mt CO2
1992,37.332,3.153,19.119,30.521,1.588,1.079,5.894,Mt CO2
1993,40.397,3.424,23.516,35.908,1.782,1.188,5.012,Mt CO2
1994,44.86,3.48,27.798,39.937,1.94,1.275,4.904,Mt CO2
1995,49.041,3.83,31.838,47.577,2.084,1.461,4.888,Mt CO2
1996,55.381,5.161,35.913,51.992,2.402,1.611,5.546,Mt CO2
1997,59.75,5.341,32.863,51.793,2.287,1.682,8.202,Mt CO2
1998,55.312,7.127,28.128,44.845,2.084,1.552,7.86,Mt CO2
1999,54.271,7.942,31.376,46.334,2.236,1.689,8.891,Mt CO2
2000,55.013,9.25,30.807,45.274,2.443,1.888,8.687,Mt CO2
2001,58.622,8.924,33.653,46.411,2.616,1.944,8.854,Mt CO2
2002,60.297,9.37,37.798,49.084,2.635,1.959,9.421,Mt CO2
2003,62.967,9.472,38.156,52.257,2.8,1.897,10.28,Mt CO2
2004,68.705,10.981,43.242,56.128,2.809,1.928,10.942,Mt CO2
2005,71.482,13.149,45.64,56.158,3.499,1.511,9.971,Mt CO2
2006,71.59,14.757,48.398,52.663,3.503,1.872,10.29,Mt CO2
2007,79.295,16.819,41.182,55.629,3.829,2.049,10.71,Mt CO2
2008,78.829,20.427,45.535,51.976,4.286,2.333,10.702,Mt CO2
2009,77,11.609,44.697,54.905,4.641,2.315,10.517,Mt CO2
2010,82.673,15.366,49.936,55.66,4.404,3.18,10.671,Mt CO2
2011,82.386,15.335,44.144,58.487,5.387,2.885,11.449,Mt CO2
2012,84.352,21.822,48.695,60.456,6.354,3.128,11.747,Mt CO2
2013,90.3,24.661,50.565,59.835,5.073,2.421,12.123,Mt CO2
2014,92.38,21.24,50.399,57.93,4.603,2.204,12.168,Mt CO2
2015,90.868,19.495,57.326,61.741,4.404,2.105,12.083,Mt CO2
2016,91.888,18.759,51.908,65.725,4.438,2.121,9.266,Mt CO2
2017,88.119,15.926,53.102,71.988,4.526,2.164,8.231,Mt CO2
2018,87.392,18.108,48.172,72.112,4.553,2.178,8.911,Mt CO2
2019,87.875,20.659,53.575,73.779,4.471,2.135,9.084,Mt CO2
2020,84.632,16.629,53.884,73.146,4.277,2.042,7.151,Mt CO2
2021,82.4,16.446,53.969,68.583,4.311,2.058,6.892,Mt CO2
