Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,1.476,tCO2 / Capita
1991,1.612,tCO2 / Capita
1992,1.733,tCO2 / Capita
1993,1.925,tCO2 / Capita
1994,2.119,tCO2 / Capita
1995,2.368,tCO2 / Capita
1996,2.624,tCO2 / Capita
1997,2.655,tCO2 / Capita
1998,2.379,tCO2 / Capita
1999,2.446,tCO2 / Capita
2000,2.432,tCO2 / Capita
2001,2.53,tCO2 / Capita
2002,2.656,tCO2 / Capita
2003,2.745,tCO2 / Capita
2004,2.982,tCO2 / Capita
2005,3.06,tCO2 / Capita
2006,3.062,tCO2 / Capita
2007,3.135,tCO2 / Capita
2008,3.18,tCO2 / Capita
2009,3.033,tCO2 / Capita
2010,3.25,tCO2 / Capita
2011,3.203,tCO2 / Capita
2012,3.421,tCO2 / Capita
2013,3.521,tCO2 / Capita
2014,3.444,tCO2 / Capita
2015,3.528,tCO2 / Capita
2016,3.457,tCO2 / Capita
2017,3.442,tCO2 / Capita
2018,3.394,tCO2 / Capita
2019,3.528,tCO2 / Capita
2020,3.382,tCO2 / Capita
2021,3.277,tCO2 / Capita
