Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Residential,Commercial and public services,Agriculture / forestry,Non-specified,Transport,Units
1990,64544,29116,43138,345,892,,TJ
1991,71330,32947,50313,338,1306,,TJ
1992,73465,36932,64976,424,1699,,TJ
1993,80542,42958,77212,468,1422,,TJ
1994,104112,46418,72417,345,1742,,TJ
1995,118292,52639,82893,370,2214,,TJ
1996,124722,57769,92815,450,2717,,TJ
1997,124351,63597,105134,593,3067,,TJ
1998,111006,67924,107715,759,2156,,TJ
1999,130240,65671,95025,586,1695,,TJ
2000,144500,70106,99511,554,1742,140,TJ
2001,150854,75852,103287,640,1476,133,TJ
2002,164635,79603,114069,705,1486,122,TJ
2003,176623,84596,121316,802,1591,122,TJ
2004,191635,89042,130690,806,1818,165,TJ
2005,204786,92206,136306,882,2041,201,TJ
2006,213534,97217,145925,864,2368,208,TJ
2007,220204,100947,154623,964,2491,208,TJ
2008,206747,103626,173383,1015,2631,216,TJ
2009,204012,109335,169531,1144,2505,223,TJ
2010,229068,120013,184158,1209,2836,266,TJ
2011,228304,118512,183668,1094,3358,381,TJ
2012,241578,131774,202784,1371,4417,370,TJ
2013,246981,136040,203140,1267,3538,590,TJ
2014,297442,140374,144640,1490,23310,378,TJ
2015,302335,145436,153522,1393,23515,388,TJ
2016,319960,158155,161424,961,24947,406,TJ
2017,315979,159746,163072,1072,26575,882,TJ
2018,316184,162738,169084,1314,26874,777,TJ
2019,309974,177127,177620,1684,28252,774,TJ
2020,295768,190297,158953,1500,26847,784,TJ
2021,311137,195445,150225,1432,27443,792,TJ
