Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Agriculture / forestry,Non-specified,Fishing,Units
1990,98434,1242,32616,26654,2070,809,,TJ
1991,94546,1422,38998,30837,2563,954,,TJ
1992,105425,1576,41335,33998,3092,813,,TJ
1993,114325,1623,45212,38660,3560,903,,TJ
1994,114271,1547,48419,43095,4298,784,,TJ
1995,128689,1281,52171,46349,5446,540,,TJ
1996,138200,1709,59148,50803,6570,716,,TJ
1997,148636,734,66650,63586,7243,,,TJ
1998,159544,1188,72122,67870,8452,,,TJ
1999,160138,1522,81302,68727,9446,,,TJ
2000,165920,2754,85996,79419,11052,,,TJ
2001,161992,2376,84805,82429,11530,,,TJ
2002,175953,2743,84812,89442,12564,,,TJ
2003,193309,2566,90702,97567,13165,,,TJ
2004,208951,2631,99428,105591,13319,,702,TJ
2005,218415,2700,111365,115815,14435,,374,TJ
2006,238885,2844,124077,127249,15422,,561,TJ
2007,257220,3365,131317,140212,17362,,568,TJ
2008,261122,3455,142502,146692,20318,,583,TJ
2009,246614,2001,140932,150631,16984,,575,TJ
2010,278262,2127,149076,162478,19566,,540,TJ
2011,309146,2365,159375,172958,17899,,630,TJ
2012,324990,2876,163349,182149,20642,,417,TJ
2013,328982,2973,161899,194659,17445,,244,TJ
2014,345038,3297,166284,206388,18352,,230,TJ
2015,362602,3823,172443,215762,17218,,352,TJ
2016,378575,4161,184334,229467,24019,,482,TJ
2017,407575,4490,195304,252875,23882,,590,TJ
2018,411890,4860,196525,271085,32728,,674,TJ
2019,401794,5679,202298,267316,33832,,624,TJ
2020,417779,5168,218496,248384,41039,,540,TJ
2021,479825,5655,221396,260856,49041,,538,TJ
