Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,13.27,tCO2 / Capita
1991,12.537,tCO2 / Capita
1992,10.853,tCO2 / Capita
1993,9.447,tCO2 / Capita
1994,7.91,tCO2 / Capita
1995,7.684,tCO2 / Capita
1996,6.736,tCO2 / Capita
1997,6.44,tCO2 / Capita
1998,6.112,tCO2 / Capita
1999,6.104,tCO2 / Capita
2000,6.001,tCO2 / Capita
2001,6.125,tCO2 / Capita
2002,6.247,tCO2 / Capita
2003,6.831,tCO2 / Capita
2004,6.383,tCO2 / Capita
2005,6.17,tCO2 / Capita
2006,6.38,tCO2 / Capita
2007,6.579,tCO2 / Capita
2008,6.375,tCO2 / Capita
2009,5.407,tCO2 / Capita
2010,5.8,tCO2 / Capita
2011,6.114,tCO2 / Capita
2012,6.006,tCO2 / Capita
2013,5.858,tCO2 / Capita
2014,5.169,tCO2 / Capita
2015,4.15,tCO2 / Capita
2016,4.391,tCO2 / Capita
2017,3.817,tCO2 / Capita
2018,4.071,tCO2 / Capita
2019,3.839,tCO2 / Capita
2020,3.657,tCO2 / Capita
2021,3.643,tCO2 / Capita
