Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Agriculture / forestry,Commercial and public services,Fishing,Units
1990,523342,52110,61898,102564,,,TJ
1991,491770,49035,71974,110271,,,TJ
1992,407149,45712,119131,64864,51015,,TJ
1993,345693,42987,125240,62719,49878,,TJ
1994,275961,39142,125204,57023,43491,,TJ
1995,256348,38797,129455,45892,46087,,TJ
1996,237196,35114,118432,39578,34779,,TJ
1997,233359,34362,112762,33062,33397,,TJ
1998,216691,34930,111484,29332,33091,,TJ
1999,207896,34203,114476,26135,31550,,TJ
2000,217079,33249,108442,18075,31719,,TJ
2001,202338,31280,77745,15206,61218,,TJ
2002,204285,33127,78328,13438,61776,,TJ
2003,220251,34401,83178,12455,60739,,TJ
2004,235278,35161,87228,11307,63003,162,TJ
2005,236552,34138,93830,11700,66797,154,TJ
2006,247219,35614,99640,11541,72558,147,TJ
2007,249008,37818,101703,11833,81619,162,TJ
2008,241718,38440,112536,11329,81896,169,TJ
2009,201095,32918,120826,11437,63079,154,TJ
2010,237279,32299,132264,11811,69231,,TJ
2011,226403,35593,138455,12772,89928,126,TJ
2012,227163,33404,138258,13791,82871,115,TJ
2013,210902,31284,148960,14169,89679,115,TJ
2014,195843,29059,140299,12538,84376,75,TJ
2015,179866,24505,133264,12031,78606,86,TJ
2016,179787,24465,129301,12646,76503,79,TJ
2017,180846,25358,126153,13111,76957,89,TJ
2018,186217,25025,129409,13924,72482,93,TJ
2019,174929,23771,126849,13231,81173,124,TJ
2020,165196,20565,131594,13596,77612,72,TJ
2021,172719,21501,137587,14216,81147,75,TJ
