Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,19.198,tCO2 / Capita
1991,18.797,tCO2 / Capita
1992,18.829,tCO2 / Capita
1993,19.028,tCO2 / Capita
1994,19.07,tCO2 / Capita
1995,19.033,tCO2 / Capita
1996,19.393,tCO2 / Capita
1997,20.145,tCO2 / Capita
1998,20.081,tCO2 / Capita
1999,19.919,tCO2 / Capita
2000,20.29,tCO2 / Capita
2001,19.992,tCO2 / Capita
2002,19.258,tCO2 / Capita
2003,19.306,tCO2 / Capita
2004,19.398,tCO2 / Capita
2005,19.268,tCO2 / Capita
2006,18.749,tCO2 / Capita
2007,18.849,tCO2 / Capita
2008,18.101,tCO2 / Capita
2009,16.667,tCO2 / Capita
2010,17.277,tCO2 / Capita
2011,16.436,tCO2 / Capita
2012,15.604,tCO2 / Capita
2013,15.927,tCO2 / Capita
2014,15.838,tCO2 / Capita
2015,15.358,tCO2 / Capita
2016,14.971,tCO2 / Capita
2017,14.64,tCO2 / Capita
2018,15.019,tCO2 / Capita
2019,14.443,tCO2 / Capita
2020,12.896,tCO2 / Capita
2021,13.761,tCO2 / Capita
2022,13.644,tCO2 / Capita
