Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Non-specified,Agriculture / forestry,Units
1990,3119551,14857,3326464,3019996,,,TJ
1991,3447028,14684,3439501,3081322,,,TJ
1992,3545279,14417,3369380,3062548,,,TJ
1993,3559427,13892,3581211,3188372,,,TJ
1994,3706833,14266,3630535,3290893,,,TJ
1995,3748986,13867,3753003,3435263,,,TJ
1996,3817875,14176,3896967,3531693,,,TJ
1997,3841502,14954,3872761,3697873,,,TJ
1998,3893569,15044,4059846,3844321,,,TJ
1999,4017085,15544,4121722,3976668,565,,TJ
2000,4111599,15912,4292805,4177108,640,,TJ
2001,3781047,16531,4329529,4313944,774,,TJ
2002,3147800,21675,4554644,4336279,597387,142750,TJ
2003,3216542,21520,4592955,4315420,609912,149691,TJ
2004,3231165,22003,4651142,4429551,611780,144190,TJ
2005,3233347,22377,4893217,4590284,546512,147772,TJ
2006,3245018,22420,4865475,4679082,535564,147481,TJ
2007,3294946,24058,5012071,4810737,571928,143334,TJ
2008,3215080,24523,4967924,4809535,630550,139067,TJ
2009,2870352,22762,4912120,4705797,465303,144590,TJ
2010,2975155,23101,5204563,4788727,508197,138211,TJ
2011,3065598,23612,5122076,4781015,490615,123004,TJ
2012,3045279,24627,4948538,4765842,521348,110750,TJ
2013,3047346,26042,5007715,4818218,551934,106905,TJ
2014,2955744,27378,5101117,4859744,596635,99615,TJ
2015,2902492,31939,5045817,4894127,599504,137127,TJ
2016,2868825,38178,5075478,4896521,703234,147949,TJ
2017,2802366,39921,4945270,4862002,702778,169676,TJ
2018,2782177,44219,5262353,4940519,851718,162163,TJ
2019,2695862,49816,5171575,4910473,689358,270741,TJ
2020,2557078,36894,5330915,4574120,836483,264551,TJ
2021,3019095,46098,5365076,4747269,433654,206356,TJ
