Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,5.742,tCO2 / Capita
1991,5.66,tCO2 / Capita
1992,5.156,tCO2 / Capita
1993,5.076,tCO2 / Capita
1994,4.696,tCO2 / Capita
1995,4.151,tCO2 / Capita
1996,4.119,tCO2 / Capita
1997,4.097,tCO2 / Capita
1998,4.67,tCO2 / Capita
1999,4.658,tCO2 / Capita
2000,4.867,tCO2 / Capita
2001,4.83,tCO2 / Capita
2002,4.883,tCO2 / Capita
2003,4.536,tCO2 / Capita
2004,4.598,tCO2 / Capita
2005,4.286,tCO2 / Capita
2006,4.527,tCO2 / Capita
2007,4.329,tCO2 / Capita
2008,4.442,tCO2 / Capita
2009,3.984,tCO2 / Capita
2010,4.2,tCO2 / Capita
2011,4.187,tCO2 / Capita
2012,3.598,tCO2 / Capita
2013,3.517,tCO2 / Capita
2014,3.237,tCO2 / Capita
2015,3.001,tCO2 / Capita
2016,3.14,tCO2 / Capita
2017,3.229,tCO2 / Capita
2018,3.246,tCO2 / Capita
2019,3.324,tCO2 / Capita
2020,3.203,tCO2 / Capita
2021,3.324,tCO2 / Capita
