Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Transport,Residential,Commercial and public services,Agriculture / forestry,Non-specified,Units
1990,78465,4464,12751,5281,53578,,TJ
1991,72475,5731,15019,5461,56073,,TJ
1992,68839,4521,22294,9691,39628,,TJ
1993,65386,3923,25484,8492,38149,,TJ
1994,63590,3999,24785,8074,37101,,TJ
1995,51839,4917,24310,12729,42677,,TJ
1996,50651,5032,25646,11365,45863,,TJ
1997,53715,4615,25455,10868,45529,,TJ
1998,53506,4597,25358,10825,45352,,TJ
1999,54028,4643,25606,10929,45795,,TJ
2000,55864,4798,26478,11300,47350,,TJ
2001,52912,4413,15879,6422,53114,,TJ
2002,53661,4359,14522,5374,54950,,TJ
2003,52387,4251,15019,5450,52120,,TJ
2004,51105,4690,15537,5187,53211,,TJ
2005,50155,4942,16750,5587,49294,,TJ
2006,51663,4654,18208,5878,56606,,TJ
2007,49827,4579,23191,5162,57938,,TJ
2008,50050,4449,21816,7595,54810,,TJ
2009,50202,4287,39211,11221,31975,,TJ
2010,50000,4348,41216,8074,30985,,TJ
2011,52808,4287,42001,8683,31608,,TJ
2012,53017,4370,43898,9532,29941,,TJ
2013,53953,4409,43365,10155,31687,,TJ
2014,56926,4298,43999,11912,30452,,TJ
2015,58539,4197,45176,12427,32511,,TJ
2016,59075,4197,40305,18871,34207,,TJ
2017,62562,4399,46007,14546,34861,,TJ
2018,55518,5308,48937,17895,64994,,TJ
2019,62575,7614,48523,17979,54208,4212,TJ
2020,71036,3808,55978,18860,33128,4212,TJ
2021,72897,4040,55662,26942,34720,6012,TJ
