Source: IEA  Greenhouse Gas Emissions from Energy https://www.iea.org/data-and-statistics/data-product/co2-emissions-from-fuel-combustion
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Electricity and heat producers,Industry,Transport,Residential,Commercial and public services,Agriculture,Units
1990,4.88,5.66,4.166,1.083,0.889,0.707,Mt CO2
1991,3.632,6.252,3.938,1.613,0.948,0.698,Mt CO2
1992,3.045,6.767,4.416,1.766,0.915,0.774,Mt CO2
1993,2.784,7.211,6.899,1.864,1.284,1.076,Mt CO2
1994,3.72,7.385,7.606,2.044,1.521,1.143,Mt CO2
1995,4.487,10.436,7.274,2.263,1.927,1.073,Mt CO2
1996,5.628,10.999,7.998,2.475,2.642,1.158,Mt CO2
1997,8.125,13.183,8.749,2.739,2.396,1.207,Mt CO2
1998,10.486,13.704,9.195,2.889,2.752,1.196,Mt CO2
1999,9.635,13.75,9.828,3.048,2.85,1.165,Mt CO2
2000,11.495,14.439,10.569,3.367,3.227,1.137,Mt CO2
2001,12.368,16.44,11.294,3.851,3.721,1.134,Mt CO2
2002,15.581,18.329,13.839,4.365,3.784,1.286,Mt CO2
2003,15.796,19.636,15.652,4.267,3.589,1.375,Mt CO2
2004,20.529,22.789,19.162,5.422,4.078,1.567,Mt CO2
2005,24.283,24.061,19.361,5.826,4.053,1.643,Mt CO2
2006,26.673,24.148,19.337,6.08,3.719,1.618,Mt CO2
2007,28.916,26.859,22.636,6.144,3.812,1.635,Mt CO2
2008,30.182,35.352,24.1,6.346,3.614,1.646,Mt CO2
2009,32.362,38.949,28.927,6.689,3.398,1.666,Mt CO2
2010,41.498,41.571,31.07,7.384,3.491,1.642,Mt CO2
2011,40.274,43.321,30.511,7.059,3.559,1.637,Mt CO2
2012,41.466,42.738,30.057,6.78,3.06,1.507,Mt CO2
2013,44.462,45.984,29.299,7.21,3.524,1.449,Mt CO2
2014,53.014,51.131,29.962,6.816,3.644,1.394,Mt CO2
2015,84.023,33.286,33.179,8.35,0.981,5.389,Mt CO2
2016,97.414,36.157,36.785,7.4,0.957,5.892,Mt CO2
2017,93.676,37.908,40.04,7.358,1.082,6.688,Mt CO2
2018,120.542,60.07,41.846,6.849,1.252,6.959,Mt CO2
2019,153.919,73.972,43.567,6.377,1.364,7.361,Mt CO2
2020,150.88,95.573,36.626,6.575,0.955,7.007,Mt CO2
2021,142.387,95.879,32.115,6.487,0.615,7.266,Mt CO2
