Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,0.26,tCO2 / Capita
1991,0.25,tCO2 / Capita
1992,0.253,tCO2 / Capita
1993,0.297,tCO2 / Capita
1994,0.323,tCO2 / Capita
1995,0.372,tCO2 / Capita
1996,0.412,tCO2 / Capita
1997,0.479,tCO2 / Capita
1998,0.522,tCO2 / Capita
1999,0.516,tCO2 / Capita
2000,0.56,tCO2 / Capita
2001,0.612,tCO2 / Capita
2002,0.709,tCO2 / Capita
2003,0.74,tCO2 / Capita
2004,0.894,tCO2 / Capita
2005,0.953,tCO2 / Capita
2006,0.972,tCO2 / Capita
2007,1.062,tCO2 / Capita
2008,1.183,tCO2 / Capita
2009,1.295,tCO2 / Capita
2010,1.449,tCO2 / Capita
2011,1.43,tCO2 / Capita
2012,1.407,tCO2 / Capita
2013,1.462,tCO2 / Capita
2014,1.6,tCO2 / Capita
2015,1.792,tCO2 / Capita
2016,1.982,tCO2 / Capita
2017,1.986,tCO2 / Capita
2018,2.502,tCO2 / Capita
2019,2.992,tCO2 / Capita
2020,3.079,tCO2 / Capita
2021,2.921,tCO2 / Capita
