Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Industry,Residential,Commercial and public services,Agriculture / forestry,Units
1990,10245,8294,2113,1616,TJ
1991,11087,8611,2300,1699,TJ
1992,11509,9147,2505,1785,TJ
1993,12517,11091,2728,1879,TJ
1994,14198,14270,2973,1980,TJ
1995,16610,18378,3236,2087,TJ
1996,19810,22600,3527,2210,TJ
1997,22186,26575,3960,2368,TJ
1998,24411,32414,4399,2584,TJ
1999,27244,35459,4885,2790,TJ
2000,32716,40111,5421,2401,TJ
2001,37810,46123,6019,2732,TJ
2002,45651,52419,7271,2901,TJ
2003,54727,57567,5486,7624,TJ
2004,64425,62384,12394,3340,TJ
2005,82108,70070,13867,3546,TJ
2006,96782,77925,15606,3517,TJ
2007,115603,84528,17100,3589,TJ
2008,126234,93834,19918,4222,TJ
2009,143708,105022,23619,4536,TJ
2010,167461,113381,28688,3398,TJ
2011,180342,123184,33418,3884,TJ
2012,199177,138182,36741,5374,TJ
2013,221691,151268,39607,5608,TJ
2014,249109,164530,41986,6814,TJ
2015,277426,172277,55789,8377,TJ
2016,309060,186677,65447,13064,TJ
2017,344055,195022,70948,15623,TJ
2018,381016,210326,78958,19562,TJ
2019,408942,233265,87300,23734,TJ
2020,425325,248234,84704,26596,TJ
2021,438064,261428,76096,29113,TJ
